"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"---","---","---","---","---","---"
"08E00000","W_Bow_000","08E00011","Bow057","77","Hunter's Stoutbow I"
"08E00001","W_Bow_001","08E00011","Bow057","78","Hunter's Stoutbow II"
"08E00002","W_Bow_002","08E00011","Bow057","79","Hunter's Proudbow"
"08E00003","W_Bow_003","08E00012","Bow058","95","Crystalline Flower I"
"08E00004","W_Bow_004","08E00012","Bow058","96","Crystalline Flower II"
"08E00005","W_Bow_005","08E00012","Bow058","97","Heaven's Glaze"
"08E00006","W_Bow_006","08E00005","Bow019","74","Iron Bow I"
"08E00007","W_Bow_007","08E00005","Bow019","75","Iron Bow II"
"08E00008","W_Bow_008","08E00005","Bow019","76","Steel Bow"
"08E00009","W_Bow_009","08E00013","Bow059","86","Yekla Arc I"
"08E0000A","W_Bow_010","08E00013","Bow059","87","Yekla Arc II"
"08E0000B","W_Bow_011","08E00013","Bow059","88","Herald's Battlebow"
"08E0000C","W_Bow_012","08E00003","Bow007","144","Hunter's Bow I"
"08E0000D","W_Bow_013","08E00003","Bow007","145","Hunter's Bow II"
"08E0000E","W_Bow_014","08E00003","Bow007","146","Master Hunter's Bow"
"08E0000F","W_Bow_015","08E00006","Bow022","141","Bone Gun I"
"08E00010","W_Bow_016","08E00006","Bow022","142","Bone Gun II"
"08E00011","W_Bow_017","08E00006","Bow022","143","Hyper Bone Gun"
"08E00012","W_Bow_018","08E0000A","Bow050","6","Kamura Iron Bow I"
"08E00013","W_Bow_019","08E0000A","Bow050","7","Kamura Iron Bow II"
"08E00014","W_Bow_020","08E0000A","Bow050","8","Kamura Iron Bow III"
"08E00015","W_Bow_021","08E0000A","Bow050","9","Kamura Iron Bow IV"
"08E00016","W_Bow_022","08E0000A","Bow050","10","Kamura Iron Bow V"
"08E00017","W_Bow_023","08E0000A","Bow050","11","Kamura Ninja Bow"
"08E00018","W_Bow_024","08E0002E","Bow088","304","Rampage Bow I"
"08E00019","W_Bow_025","08E0002E","Bow088","305","Rampage Bow II"
"08E0001A","W_Bow_026","08E0002E","Bow088","306","Rampage Bow III"
"08E0001B","W_Bow_027","08E0002E","Bow088","309","Rampage Bow S"
"08E0001C","W_Bow_028","08E00014","Bow060","276","Morsel Bowfish I"
