"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08B00000","W_ChargeAxe_000","08B00004","C_Axe018","59","Hyperguard I"
"08B00001","W_ChargeAxe_001","08B00004","C_Axe018","60","Hyperguard II"
"08B00002","W_ChargeAxe_002","08B00004","C_Axe018","61","Regas Hyper"
"08B00003","W_ChargeAxe_003","08B00012","C_Axe059","62","Elite Blade I"
"08B00004","W_ChargeAxe_004","08B00012","C_Axe059","63","Elite Blade II"
"08B00005","W_ChargeAxe_005","08B00012","C_Axe059","64","Kaiser Blade"
"08B00006","W_ChargeAxe_006","08B00013","C_Axe060","71","K. Captain's Blade I"
"08B00007","W_ChargeAxe_007","08B00013","C_Axe060","72","K. Captain's Blade II"
"08B00008","W_ChargeAxe_008","08B00013","C_Axe060","73","Die Walküre"
"08B00009","W_ChargeAxe_009","08B00006","C_Axe021","123","Bone Blade I"
"08B0000A","W_ChargeAxe_010","08B00006","C_Axe021","124","Bone Blade II"
"08B0000B","W_ChargeAxe_011","08B00006","C_Axe021","125","Bonesilt Veil"
"08B0000C","W_ChargeAxe_012","08B00005","C_Axe020","120","Bone Strongarm I"
"08B0000D","W_ChargeAxe_013","08B00005","C_Axe020","121","Bone Strongarm II"
"08B0000E","W_ChargeAxe_014","08B00005","C_Axe020","122","Hard Bone Strongarm"
"08B0000F","W_ChargeAxe_015","08B00014","C_Axe061","156","Poisonous Veil I"
"08B00010","W_ChargeAxe_016","08B00014","C_Axe061","157","Poisonous Veil II"
"08B00011","W_ChargeAxe_017","08B00014","C_Axe061","158","Infected Veil"
"08B00012","W_ChargeAxe_018","08B00015","C_Axe062","162","Dragon Veil I"
"08B00013","W_ChargeAxe_019","08B00015","C_Axe062","163","Dragon Veil II"
"08B00014","W_ChargeAxe_020","08B00015","C_Axe062","164","Dragonsong"
"08B00015","W_ChargeAxe_021","08B00009","C_Axe050","6","Kamura C. Blade I"
"08B00016","W_ChargeAxe_022","08B00009","C_Axe050","7","Kamura C. Blade II"
"08B00017","W_ChargeAxe_023","08B00009","C_Axe050","8","Kamura C. Blade III"
"08B00018","W_ChargeAxe_024","08B00009","C_Axe050","9","Kamura C. Blade IV"
"08B00019","W_ChargeAxe_025","08B00009","C_Axe050","10","Kamura C. Blade V"
"08B0001A","W_ChargeAxe_026","08B00009","C_Axe050","11","Kamura Ninja C. Blade"
"08B0001B","W_ChargeAxe_027","08B00026","C_Axe081","255","Rampage C. Blade I"
"08B0001C","W_ChargeAxe_028","08B00026","C_Axe081","256","Rampage C. Blade II"
"08B0001D","W_ChargeAxe_029","08B00026","C_Axe081","257","Rampage C. Blade III"
"08B0001E","W_ChargeAxe_030","08B00026","C_Axe081","260","Rampage C. Blade S"
"08B0001F","W_ChargeAxe_031","08B00025","C_Axe080","232","Ricebane I"
"08B00020","W_ChargeAxe_032","08B00025","C_Axe080","233","Ricebane II"
"08B00021","W_ChargeAxe_033","08B00025","C_Axe080","234","Pounder of Rice"
"08B00022","W_ChargeAxe_034","08B00018","C_Axe065","237","Cuddly Cat I"
"08B00023","W_ChargeAxe_035","08B00018","C_Axe065","238","Cuddly Cat II"
"08B00024","W_ChargeAxe_036","08B00018","C_Axe065","239","Felyne Fancy"
"08B00025","W_ChargeAxe_037","08B00017","C_Axe064","242","Mandible Blade I"
"08B00026","W_ChargeAxe_038","08B00017","C_Axe064","243","Mandible Blade II"
"08B00027","W_ChargeAxe_039","08B00017","C_Axe064","244","Maxilla Edge"
"08B00028","W_ChargeAxe_040","08B00016","C_Axe063","247","Vaik Veil I"
"08B00029","W_ChargeAxe_041","08B00016","C_Axe063","248","Vaik Veil II"
"08B0002A","W_ChargeAxe_042","08B00016","C_Axe063","249","Shieldraad"
"08B0002B","W_ChargeAxe_043","08B0000A","C_Axe051","108","Wind Thief Sickle I"
"08B0002C","W_ChargeAxe_044","08B0000A","C_Axe051","109","Wind Thief Sickle II"
"08B0002D","W_ChargeAxe_045","08B0000A","C_Axe051","110","Gale Sickle"
"08B0002E","W_ChargeAxe_046","08B0000B","C_Axe052","41","Shovedown Blade I"
"08B0002F","W_ChargeAxe_047","08B0000B","C_Axe052","42","Shovedown Blade II"
"08B00030","W_ChargeAxe_048","08B0000B","C_Axe052","43","Spinning Takedown"
"08B00031","W_ChargeAxe_049","08B0000C","C_Axe053","147","Bellowing Blow I"
"08B00032","W_ChargeAxe_050","08B0000C","C_Axe053","148","Bellowing Blow II"
"08B00033","W_ChargeAxe_051","08B0000C","C_Axe053","149","Illusory Frilled Wail"
"08B00034","W_ChargeAxe_052","08B0000D","C_Axe054","189","Sinister Slasher I"
"08B00035","W_ChargeAxe_053","08B0000D","C_Axe054","190","Sinister Slasher II"
"08B00036","W_ChargeAxe_054","08B0000D","C_Axe054","191","Sinister Shade Axe"
"08B00037","W_ChargeAxe_055","08B0000E","C_Axe055","53","Surprise Axe I"
"08B00038","W_ChargeAxe_056","08B0000E","C_Axe055","54","Surprise Axe II"
"08B00039","W_ChargeAxe_057","08B0000E","C_Axe055","55","Stunning Axe"
"08B0003A","W_ChargeAxe_058","08B0000F","C_Axe056","80","Biting Edge I"
"08B0003B","W_ChargeAxe_059","08B0000F","C_Axe056","81","Biting Edge II"
"08B0003C","W_ChargeAxe_060","08B0000F","C_Axe056","82","Araknablade"
"08B0003D","W_ChargeAxe_061","08B00010","C_Axe057","207","Azure Elder Blade I"
"08B0003E","W_ChargeAxe_062","08B00010","C_Axe057","208","Azure Elder Blade II"
"08B0003F","W_ChargeAxe_063","08B00010","C_Axe057","209","Abyssal Gale Ward"
"08B00040","W_ChargeAxe_064","08B00011","C_Axe058","211","Thunderbolt Sawtooth I"
"08B00041","W_ChargeAxe_065","08B00011","C_Axe058","212","Abyssal Storm Ward"
"08B00042","W_ChargeAxe_066","08B00023","C_Axe077","226","Redwing Edge I"
"08B00043","W_ChargeAxe_067","08B00023","C_Axe077","227","Skaltecore"
"08B00044","W_ChargeAxe_068","08B00019","C_Axe066","168","Barroth Anchor I"
"08B00045","W_ChargeAxe_069","08B00019","C_Axe066","169","Barroth Anchor II"
"08B00046","W_ChargeAxe_070","08B00019","C_Axe066","170","Rugged Anchor"
"08B00047","W_ChargeAxe_071","08B0001A","C_Axe067","183","Rough Roller I"
"08B00048","W_ChargeAxe_072","08B0001A","C_Axe067","184","Rough Roller II"
"08B00049","W_ChargeAxe_073","08B0001A","C_Axe067","185","Rotaxion"
"08B0004A","W_ChargeAxe_074","08B00007","C_Axe028","135","Jyura Silt I"
"08B0004B","W_ChargeAxe_075","08B00007","C_Axe028","136","Jyura Silt II"
"08B0004C","W_ChargeAxe_076","08B00007","C_Axe028","137","Clutch of the Deep"
"08B0004D","W_ChargeAxe_077","08B0001B","C_Axe068","47","Giga Grips I"
"08B0004E","W_ChargeAxe_078","08B0001B","C_Axe068","48","Giga Grips II"
"08B0004F","W_ChargeAxe_079","08B0001B","C_Axe068","49","Giga Grips III"
"08B00050","W_ChargeAxe_080","08B0001B","C_Axe068","50","Titan's Vise"
"08B00051","W_ChargeAxe_081","08B00001","C_Axe002","18","Dear Lutemis I"
"08B00052","W_ChargeAxe_082","08B00001","C_Axe002","19","Dear Lutemis II"
"08B00053","W_ChargeAxe_083","08B00001","C_Axe002","20","Dear Lutemia"
"08B00054","W_ChargeAxe_084","08B00003","C_Axe012","29","Weissritter I"
"08B00055","W_ChargeAxe_085","08B00003","C_Axe012","30","Weissritter II"
"08B00056","W_ChargeAxe_086","08B00003","C_Axe012","31","Weissritter III"
"08B00057","W_ChargeAxe_087","08B00003","C_Axe012","32","Pavadira"
"08B00058","W_ChargeAxe_088","08B00008","C_Axe029","102","Kadachi Slasher I"
"08B00059","W_ChargeAxe_089","08B00008","C_Axe029","103","Kadachi Slasher II"
"08B0005A","W_ChargeAxe_090","08B00008","C_Axe029","104","Kadachi Otenta"
"08B0005B","W_ChargeAxe_091","08B0001C","C_Axe070","113","Hidden Arsenal I"
"08B0005C","W_ChargeAxe_092","08B0001C","C_Axe070","114","Hidden Arsenal II"
"08B0005D","W_ChargeAxe_093","08B0001C","C_Axe070","115","Scream in the Night"
"08B0005E","W_ChargeAxe_094","08B0001D","C_Axe071","95","Mizuniya Drill I"
"08B0005F","W_ChargeAxe_095","08B0001D","C_Axe071","96","Mizuniya Drill II"
"08B00060","W_ChargeAxe_096","08B0001D","C_Axe071","97","Final Fieldblade"
"08B00061","W_ChargeAxe_097","08B00002","C_Axe003","141","Axelion Blade I"
"08B00062","W_ChargeAxe_098","08B00002","C_Axe003","142","Axelion Blade II"
"08B00063","W_ChargeAxe_099","08B00002","C_Axe003","143","Bardichion Blade"
"08B00064","W_ChargeAxe_100","08B00024","C_Axe079","36","Usurper's Lightning I"
"08B00065","W_ChargeAxe_101","08B00024","C_Axe079","37","Usurper's Lightning II"
"08B00066","W_ChargeAxe_102","08B00024","C_Axe079","38","Despot's Thundergale"
"08B00067","W_ChargeAxe_103","08B0001E","C_Axe072","89","Tigrex Divide I"
"08B00068","W_ChargeAxe_104","08B0001E","C_Axe072","90","Tigrex Divide II"
"08B00069","W_ChargeAxe_105","08B0001E","C_Axe072","91","Tigrex Blade"
"08B0006A","W_ChargeAxe_106","08B0001F","C_Axe073","177","Diablos Strongarm I"
"08B0006B","W_ChargeAxe_107","08B0001F","C_Axe073","178","Diablos Strongarm II"
"08B0006C","W_ChargeAxe_108","08B0001F","C_Axe073","179","Cera Strongarm"
"08B0006D","W_ChargeAxe_109","08B00000","C_Axe001","214","Daora's Casca I"
"08B0006E","W_ChargeAxe_110","08B00000","C_Axe001","215","Daora's Thwartoise"
"08B0006F","W_ChargeAxe_111","08B00020","C_Axe074","218","Teostra's Striker I"
"08B00070","W_ChargeAxe_112","08B00020","C_Axe074","219","Teostra's Nova"
"08B00071","W_ChargeAxe_113","08B00021","C_Axe075","222","Arcane Draw I"
"08B00072","W_ChargeAxe_114","08B00021","C_Axe075","223","Etherward"
"08B00073","W_ChargeAxe_115","08B00022","C_Axe076","201","Undying Blade I"
"08B00074","W_ChargeAxe_116","08B00022","C_Axe076","202","Undying Blade II"
"08B00075","W_ChargeAxe_117","08B00022","C_Axe076","203","Ikaji Immortal"
"08B00076","W_ChargeAxe_118","08B00026","C_Axe081","258","Rampage C. Blade IV"
"08B00077","W_ChargeAxe_119","08B00026","C_Axe081","259","Rampage C. Blade V"
"08B00078","W_ChargeAxe_120","08B00027","C_Axe082","1","Defender Charge Blade I"
"08B00079","W_ChargeAxe_121","08B00027","C_Axe082","2","Champion Charge Blade"
"08B0012C","W_ChargeAxe_300","08B00028","C_Axe100","12","Kamura Warrior C. Blade"
"08B0012D","W_ChargeAxe_301","08B00028","C_Axe100","13","Kamura Warrior C. Blade+"
"08B0012E","W_ChargeAxe_302","08B00028","C_Axe100","14","Kamura Fine C. Blade"
"08B0012F","W_ChargeAxe_303","08B00036","C_Axe114","15","Duke's Shield"
"08B00130","W_ChargeAxe_304","08B00036","C_Axe114","16","Bloodeagle Adler"
"08B00131","W_ChargeAxe_305","08B00001","C_Axe002","21","Dear Lutemia+"
"08B00132","W_ChargeAxe_306","08B00001","C_Axe002","22","Dear Lutemineva"
"08B00133","W_ChargeAxe_307","08B00001","C_Axe002","23","Dear Lutemineva+"
"08B00134","W_ChargeAxe_308","08B0003A","C_Axe118","25","Rosenrupe"
"08B00135","W_ChargeAxe_309","08B0003A","C_Axe118","26","Rosenrupe+"
"08B00136","W_ChargeAxe_310","08B0003A","C_Axe118","27","Rosenemolgia"
"08B00137","W_ChargeAxe_311","08B00003","C_Axe012","33","Frostrail"
"08B00138","W_ChargeAxe_312","08B00003","C_Axe012","34","Frostrail+"
"08B00139","W_ChargeAxe_313","08B00003","C_Axe012","35","Dreadfeller"
"08B0013A","W_ChargeAxe_314","08B00024","C_Axe079","39","Despot's Thundergale+"
"08B0013B","W_ChargeAxe_315","08B00024","C_Axe079","40","Oppressor's Thunderclap"
"08B0013C","W_ChargeAxe_316","08B0000B","C_Axe052","44","Spinning Takedown+"
"08B0013D","W_ChargeAxe_317","08B0000B","C_Axe052","45","Whirling Takedown"
"08B0013E","W_ChargeAxe_318","08B0000B","C_Axe052","46","Whirling Takedown+"
"08B0013F","W_ChargeAxe_319","08B0001B","C_Axe068","51","Titan's Vise+"
"08B00141","W_ChargeAxe_321","08B0001B","C_Axe068","52","Goliath Arms"
"08B00142","W_ChargeAxe_322","08B0000E","C_Axe055","56","Striking Axe"
"08B00143","W_ChargeAxe_323","08B0000E","C_Axe055","57","Striking Axe+"
"08B00144","W_ChargeAxe_324","08B0000E","C_Axe055","58","Shocking Axe"
"08B00145","W_ChargeAxe_325","08B00012","C_Axe059","65","Kaiser Blade+"
"08B00146","W_ChargeAxe_326","08B00012","C_Axe059","66","Kaiser Kommandant"
"08B00147","W_ChargeAxe_327","08B00012","C_Axe059","67","Kaiser Kommandant+"
"08B00148","W_ChargeAxe_328","08B00037","C_Axe115","68","Frostmoon Icecutioner"
"08B00149","W_ChargeAxe_329","08B00037","C_Axe115","69","Frostmoon Icecutioner+"
"08B0014A","W_ChargeAxe_330","08B00037","C_Axe115","70","Gluttonous Glacier"
"08B0014B","W_ChargeAxe_331","08B00013","C_Axe060","74","Die Walküre+"
"08B0014C","W_ChargeAxe_332","08B00013","C_Axe060","75","Tristan and Isolde"
"08B0014D","W_ChargeAxe_333","08B00013","C_Axe060","76","Tristan and Isolde+"
"08B0014E","W_ChargeAxe_334","08B00031","C_Axe109","77","Vajraklex Blade"
"08B0014F","W_ChargeAxe_335","08B00031","C_Axe109","78","Amagarex Blade"
"08B00150","W_ChargeAxe_336","08B00031","C_Axe109","79","Amagarex Blade+"
"08B00151","W_ChargeAxe_337","08B0000F","C_Axe056","83","Araknasmasher"
"08B00152","W_ChargeAxe_338","08B0000F","C_Axe056","84","Araknasmasher+"
"08B00153","W_ChargeAxe_339","08B0000F","C_Axe056","85","Crawling Crusher"
"08B00154","W_ChargeAxe_340","08B00035","C_Axe113","86","Roujatov Gate"
"08B00155","W_ChargeAxe_341","08B00035","C_Axe113","87","Roujatov Gate+"
"08B00156","W_ChargeAxe_342","08B00035","C_Axe113","88","Ent Da Lavater"
"08B00157","W_ChargeAxe_343","08B0001E","C_Axe072","92","Tigrex Blade+"
"08B00158","W_ChargeAxe_344","08B0001E","C_Axe072","93","Huge Tigrex Blade"
"08B00159","W_ChargeAxe_345","08B0001E","C_Axe072","94","Huge Tigrex Blade+"
"08B0015A","W_ChargeAxe_346","08B0001D","C_Axe071","98","Final Fieldblade+"
"08B0015B","W_ChargeAxe_347","08B0001D","C_Axe071","99","Divine Fieldblade"
"08B0015C","W_ChargeAxe_348","08B0001D","C_Axe071","100","Divine Fieldblade+"
"08B0015D","W_ChargeAxe_349","08B00032","C_Axe110","101","Pure Axe Omonshiro"
"08B0015E","W_ChargeAxe_350","08B00008","C_Axe029","105","Kadachi Otenta+"
"08B0015F","W_ChargeAxe_351","08B00008","C_Axe029","106","Thunderclap Otenta"
"08B00160","W_ChargeAxe_352","08B00008","C_Axe029","107","Thunderclap Otenta+"
"08B00161","W_ChargeAxe_353","08B0000A","C_Axe051","111","Gale Sickle+"
"08B00162","W_ChargeAxe_354","08B0000A","C_Axe051","112","Reaper Axe Helliot"
"08B00163","W_ChargeAxe_355","08B0001C","C_Axe070","116","Howl in the Rain"
"08B00164","W_ChargeAxe_356","08B0001C","C_Axe070","117","Howl in the Rain+"
"08B00165","W_ChargeAxe_357","08B0001C","C_Axe070","118","Avidya Charger"
"08B00166","W_ChargeAxe_358","08B00006","C_Axe021","126","Bonesilt Veil+"
"08B00167","W_ChargeAxe_359","08B00006","C_Axe021","127","Bonebreaker Veil"
"08B00168","W_ChargeAxe_360","08B00006","C_Axe021","128","Bonebreaker Veil+"
"08B00169","W_ChargeAxe_361","08B00030","C_Axe108","129","Aslat Charger"
"08B0016A","W_ChargeAxe_362","08B00030","C_Axe108","130","Aslat Charger+"
"08B0016B","W_ChargeAxe_363","08B00030","C_Axe108","131","Rebellious Charger"
"08B0016C","W_ChargeAxe_364","08B0002B","C_Axe103","132","Guardian Blade"
"08B0016D","W_ChargeAxe_365","08B0002B","C_Axe103","133","Guardian Blade+"
"08B0016E","W_ChargeAxe_366","08B0002B","C_Axe103","134","Nadegiri"
"08B0016F","W_ChargeAxe_367","08B00007","C_Axe028","138","Clutch of the Deep+"
"08B00170","W_ChargeAxe_368","08B00007","C_Axe028","139","Valtos Bow"
"08B00171","W_ChargeAxe_369","08B00007","C_Axe028","140","Valtos Bow+"
"08B00172","W_ChargeAxe_370","08B00002","C_Axe003","144","Bardichion Blade+"
"08B00173","W_ChargeAxe_371","08B00002","C_Axe003","145","Flamlion Blade"
