"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08800000","W_DualBlades_000","08800004","D_Bld017","49","Matched Slicers I"
"08800001","W_DualBlades_001","08800004","D_Bld017","50","Matched Slicers II"
"08800002","W_DualBlades_002","08800004","D_Bld017","51","Dual Daggers"
"08800003","W_DualBlades_003","08800013","D_Bld057","52","Hurricane I"
"08800004","W_DualBlades_004","08800013","D_Bld057","53","Hurricane II"
"08800005","W_DualBlades_005","08800013","D_Bld057","54","Cyclone"
"08800006","W_DualBlades_006","08800005","D_Bld018","104","Dual Hatchets I"
"08800007","W_DualBlades_007","08800005","D_Bld018","105","Dual Hatchets II"
"08800008","W_DualBlades_008","08800005","D_Bld018","106","Dual Cleavers"
"08800009","W_DualBlades_009","08800001","D_Bld003","259","Sworn Rapiers I"
"0880000A","W_DualBlades_010","08800001","D_Bld003","260","Sworn Rapiers II"
"0880000B","W_DualBlades_011","08800001","D_Bld003","261","Holy Sabers"
"0880000C","W_DualBlades_012","08800014","D_Bld058","264","Altair I"
"0880000D","W_DualBlades_013","08800014","D_Bld058","265","Altair II"
"0880000E","W_DualBlades_014","08800014","D_Bld058","266","Fortis Gran"
"0880000F","W_DualBlades_015","08800006","D_Bld019","98","Twin Chainsaws I"
"08800010","W_DualBlades_016","08800006","D_Bld019","99","Twin Chainsaws II"
"08800011","W_DualBlades_017","08800006","D_Bld019","100","Guillotines"
"08800012","W_DualBlades_018","08800015","D_Bld059","82","Gelid Mind I"
"08800013","W_DualBlades_019","08800015","D_Bld059","83","Gelid Mind II"
"08800014","W_DualBlades_020","08800015","D_Bld059","84","Gelid Soul"
"08800015","W_DualBlades_021","08800007","D_Bld021","121","Bone Hatchets I"
"08800016","W_DualBlades_022","08800007","D_Bld021","122","Bone Hatchets II"
"08800017","W_DualBlades_023","08800007","D_Bld021","123","Wild Hatchets"
"08800018","W_DualBlades_024","08800016","D_Bld060","124","Talon Carvers I"
"08800019","W_DualBlades_025","08800016","D_Bld060","125","Talon Carvers II"
"0880001A","W_DualBlades_026","08800016","D_Bld060","126","Talon Twins"
"0880001B","W_DualBlades_027","08800017","D_Bld061","167","Blazeblades I"
"0880001C","W_DualBlades_028","08800017","D_Bld061","168","Blazeblades II"
"0880001D","W_DualBlades_029","08800017","D_Bld061","169","Infernal Furies"
"0880001E","W_DualBlades_030","0880000C","D_Bld050","6","Kamura Glintblades I"
"0880001F","W_DualBlades_031","0880000C","D_Bld050","7","Kamura Glintblades II"
"08800020","W_DualBlades_032","0880000C","D_Bld050","8","Kamura Glintblades III"
"08800021","W_DualBlades_033","0880000C","D_Bld050","9","Kamura Glintblades IV"
"08800022","W_DualBlades_034","0880000C","D_Bld050","10","Kamura Glintblades V"
"08800023","W_DualBlades_035","0880000C","D_Bld050","11","Kamura Ninja Blades"
"08800024","W_DualBlades_036","0880002A","D_Bld083","279","Rampage Twinblades I"
"08800025","W_DualBlades_037","0880002A","D_Bld083","280","Rampage Twinblades II"
"08800026","W_DualBlades_038","0880002A","D_Bld083","281","Rampage Twinblades III"
"08800027","W_DualBlades_039","0880002A","D_Bld083","284","Rampage Twinblades S"
"08800028","W_DualBlades_040","0880002B","D_Bld0843","269","Stealth Dango I"
"08800029","W_DualBlades_041","0880002B","D_Bld0843","270","Stealth Dango II"
"0880002A","W_DualBlades_042","0880002B","D_Bld0843","271","Perfected Dango"
"0880002B","W_DualBlades_043","08800019","D_Bld064","244","Felyne Claws I"
"0880002C","W_DualBlades_044","08800019","D_Bld064","245","Felyne Claws II"
"0880002D","W_DualBlades_045","08800019","D_Bld064","246","Raging Claws"
"0880002E","W_DualBlades_046","08800029","D_Bld082","249","Rainy Jelly I"
"0880002F","W_DualBlades_047","08800029","D_Bld082","250","Rainy Jelly II"
"08800030","W_DualBlades_048","08800029","D_Bld082","251","Rain of Gore"
"08800031","W_DualBlades_049","08800018","D_Bld063","254","Qornu Waga I"
"08800032","W_DualBlades_050","08800018","D_Bld063","255","Qornu Waga II"
"08800033","W_DualBlades_051","08800018","D_Bld063","256","Ro Waga"
"08800034","W_DualBlades_052","0880000D","D_Bld051","71","Schirmscorn I"
"08800035","W_DualBlades_053","0880000D","D_Bld051","72","Schirmscorn II"
"08800036","W_DualBlades_054","0880000D","D_Bld051","73","Daybreak Daggers"
"08800037","W_DualBlades_055","0880000E","D_Bld052","182","Frilled Claw I"
"08800038","W_DualBlades_056","0880000E","D_Bld052","183","Frilled Claw II"
"08800039","W_DualBlades_057","0880000E","D_Bld052","184","Illusory Frilled Claw"
"0880003A","W_DualBlades_058","0880000F","D_Bld053","196","Sinister Blades I"
"0880003B","W_DualBlades_059","0880000F","D_Bld053","197","Sinister Blades II"
"0880003C","W_DualBlades_060","0880000F","D_Bld053","198","Sinister Famineblades"
"0880003D","W_DualBlades_061","08800010","D_Bld054","18","Mud Ripper I"
"0880003E","W_DualBlades_062","08800010","D_Bld054","19","Mud Ripper II"
"0880003F","W_DualBlades_063","08800010","D_Bld054","20","Mud Twister"
"08800040","W_DualBlades_064","08800011","D_Bld055","214","Azure Elder Blades I"
"08800041","W_DualBlades_065","08800011","D_Bld055","215","Azure Elder Blades II"
"08800042","W_DualBlades_066","08800011","D_Bld055","216","Abyssal Gale Blades"
"08800043","W_DualBlades_067","08800012","D_Bld056","223","Thunderbolt Blades I"
"08800044","W_DualBlades_068","08800012","D_Bld056","224","Abyssal Storm Blades"
"08800045","W_DualBlades_069","08800028","D_Bld081","238","Redwing Blades I"
"08800046","W_DualBlades_070","08800028","D_Bld081","239","Reddnaught Dragon Wing"
"08800047","W_DualBlades_071","0880001A","D_Bld065","110","Cerulean Axes I"
"08800048","W_DualBlades_072","0880001A","D_Bld065","111","Cerulean Axes II"
"08800049","W_DualBlades_073","0880001A","D_Bld065","112","Ashigara Axes"
"0880004A","W_DualBlades_074","0880001B","D_Bld066","191","Snow Slicers I"
"0880004B","W_DualBlades_075","0880001B","D_Bld066","192","Snow Slicers II"
"0880004C","W_DualBlades_076","0880001B","D_Bld066","193","Snow Sisters"
"0880004D","W_DualBlades_077","0880001C","D_Bld067","38","Desperado I"
"0880004E","W_DualBlades_078","0880001C","D_Bld067","39","Desperado II"
"0880004F","W_DualBlades_079","0880001C","D_Bld067","40","The Kid"
"08800050","W_DualBlades_080","08800008","D_Bld028","77","Kulu's Peck I"
"08800051","W_DualBlades_081","08800008","D_Bld028","78","Kulu's Peck II"
"08800052","W_DualBlades_082","08800008","D_Bld028","79","Kulu's Lasher"
"08800053","W_DualBlades_083","0880001D","D_Bld068","173","Ludroth Pair I"
"08800054","W_DualBlades_084","0880001D","D_Bld068","174","Ludroth Pair II"
"08800055","W_DualBlades_085","0880001D","D_Bld068","175","Double Droth"
"08800056","W_DualBlades_086","0880001E","D_Bld069","43","Khezu Daggers I"
"08800057","W_DualBlades_087","0880001E","D_Bld069","44","Khezu Daggers II"
"08800058","W_DualBlades_088","0880001E","D_Bld069","45","Khezu Skards"
"08800059","W_DualBlades_089","08800009","D_Bld029","155","Jyura Duo I"
"0880005A","W_DualBlades_090","08800009","D_Bld029","156","Jyura Duo II"
"0880005B","W_DualBlades_091","08800009","D_Bld029","157","Jyura Pulverizers"
"0880005C","W_DualBlades_092","08800003","D_Bld012","32","Blizzarioths I"
"0880005D","W_DualBlades_093","08800003","D_Bld012","33","Blizzarioths II"
"0880005E","W_DualBlades_094","08800003","D_Bld012","34","Mountain Blizzarioths"
"0880005F","W_DualBlades_095","0880000A","D_Bld030","161","Kadachi Twinblades I"
"08800060","W_DualBlades_096","0880000A","D_Bld030","162","Kadachi Twinblades II"
"08800061","W_DualBlades_097","0880000A","D_Bld030","163","Shockblades"
"08800062","W_DualBlades_098","0880000B","D_Bld031","115","Flammenschild I"
"08800063","W_DualBlades_099","0880000B","D_Bld031","116","Flammenschild II"
"08800064","W_DualBlades_100","0880000B","D_Bld031","117","Gnashing Flammenschild"
"08800065","W_DualBlades_101","08800020","D_Bld072","91","Hidden Gemini I"
