"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08100000","W_GreatSword_000","08100005","G_Swd024","80","Buster Sword I"
"08100001","W_GreatSword_001","08100005","G_Swd024","81","Buster Blade"
"08100002","W_GreatSword_002","08100014","G_Swd059","78","Iron Sword I"
"08100003","W_GreatSword_003","08100014","G_Swd059","79","Steel Sword"
"08100004","W_GreatSword_004","08100006","G_Swd025","31","Axeblade I"
"08100005","W_GreatSword_005","08100006","G_Swd025","32","Axeblade II"
"08100006","W_GreatSword_006","08100006","G_Swd025","33","Colossal Axeblade"
"08100007","W_GreatSword_007","08100015","G_Swd060","82","Chrome Razor I"
"08100008","W_GreatSword_008","08100015","G_Swd060","83","Chrome Quietus"
"08100009","W_GreatSword_009","08100008","G_Swd027","123","Bone Cleaver I"
"0810000A","W_GreatSword_010","08100008","G_Swd027","124","Bone Slasher"
"0810000B","W_GreatSword_011","08100009","G_Swd028","125","Jawblade I"
"0810000C","W_GreatSword_012","08100009","G_Swd028","126","Giant Jawblade"
"0810000D","W_GreatSword_013","08100016","G_Swd061","127","Wyvern Fang I"
"0810000E","W_GreatSword_014","08100016","G_Swd061","128","Great Wyvern Fang"
"0810000F","W_GreatSword_015","08100007","G_Swd026","138","Golem Blade I"
"08100010","W_GreatSword_016","08100007","G_Swd026","139","Blade of Talos"
"08100011","W_GreatSword_017","08100017","G_Swd062","90","Barbaroi Blade I"
"08100012","W_GreatSword_018","08100017","G_Swd062","91","Barbaroi Blade II"
"08100013","W_GreatSword_019","08100017","G_Swd062","92","Crimson Goat"
"08100014","W_GreatSword_020","0810000B","G_Swd050","6","Kamura Cleaver I"
"08100015","W_GreatSword_021","0810000B","G_Swd050","7","Kamura Cleaver II"
"08100016","W_GreatSword_022","0810000B","G_Swd050","8","Kamura Cleaver III"
"08100017","W_GreatSword_023","0810000B","G_Swd050","9","Kamura Cleaver IV"
"08100018","W_GreatSword_024","0810000B","G_Swd050","10","Kamura Cleaver V"
"08100019","W_GreatSword_025","0810000B","G_Swd050","11","Kamura Ninja Cleaver"
"0810001A","W_GreatSword_026","0810002C","G_Swd086","275","Rampage Cleaver I"
"0810001B","W_GreatSword_027","0810002C","G_Swd086","276","Rampage Cleaver II"
"0810001C","W_GreatSword_028","0810002C","G_Swd086","277","Rampage Cleaver III"
"0810001D","W_GreatSword_029","0810002C","G_Swd086","280","Rampage Cleaver S"
"0810001E","W_GreatSword_030","08100018","G_Swd063","257","Frozen Speartuna I"
"0810001F","W_GreatSword_031","08100018","G_Swd063","258","Frozen Speartuna II"
"08100020","W_GreatSword_032","08100018","G_Swd063","259","Freezer Speartuna"
"08100021","W_GreatSword_033","0810002D","G_Swd087","262","Ninja Parasol I"
"08100022","W_GreatSword_034","0810002D","G_Swd087","263","Ninja Parasol II"
"08100023","W_GreatSword_035","0810002D","G_Swd087","264","Dragonslayer Parasol"
"08100024","W_GreatSword_036","0810001A","G_Swd065","267","Cat's Soul I"
"08100025","W_GreatSword_037","0810001A","G_Swd065","268","Cat's Soul II"
"08100026","W_GreatSword_038","0810001A","G_Swd065","269","Cat's Curse"
"08100027","W_GreatSword_039","08100019","G_Swd064","247","Wyvern's Perch I"
"08100028","W_GreatSword_040","08100019","G_Swd064","248","Wyvern's Perch II"
"08100029","W_GreatSword_041","08100019","G_Swd064","249","Roguish Deathcap"
"0810002A","W_GreatSword_042","08100029","G_Swd083","252","Sleepy Shellblade I"
"0810002B","W_GreatSword_043","08100029","G_Swd083","253","Sleepy Shellblade II"
"0810002C","W_GreatSword_044","08100029","G_Swd083","254","Soporific Shellblade"
"0810002D","W_GreatSword_045","0810000C","G_Swd051","52","Izuchi Blade I"
"0810002E","W_GreatSword_046","0810000C","G_Swd051","53","Izuchi Blade II"
"0810002F","W_GreatSword_047","0810000C","G_Swd051","54","Snapper Blade"
"08100030","W_GreatSword_048","0810000D","G_Swd052","111","Aknosom Blade I"
"08100031","W_GreatSword_049","0810000D","G_Swd052","112","Aknosom Blade II"
"08100032","W_GreatSword_050","0810000D","G_Swd052","113","Daybreak Cleaver"
"08100033","W_GreatSword_051","0810000E","G_Swd053","117","Tetranadon Edge I"
"08100034","W_GreatSword_052","0810000E","G_Swd053","118","Tetranadon Edge II"
"08100035","W_GreatSword_053","0810000E","G_Swd053","119","Tetranadon Cutter"
"08100036","W_GreatSword_054","0810000F","G_Swd054","69","Frilled Blade I"
"08100037","W_GreatSword_055","0810000F","G_Swd054","70","Frilled Blade II"
"08100038","W_GreatSword_056","0810000F","G_Swd054","71","Illusory Frilled Blade"
"08100039","W_GreatSword_057","08100010","G_Swd055","204","Sinister Blade I"
"0810003A","W_GreatSword_058","08100010","G_Swd055","205","Sinister Blade II"
"0810003B","W_GreatSword_059","08100010","G_Swd055","206","Sinister Shadowblade"
"0810003C","W_GreatSword_060","08100011","G_Swd056","18","Gossblade I"
"0810003D","W_GreatSword_061","08100011","G_Swd056","19","Gossblade II"
"0810003E","W_GreatSword_062","08100011","G_Swd056","20","Abominable Great Sword"
"0810003F","W_GreatSword_063","08100012","G_Swd057","222","Azure Elder Great Sword I"
"08100040","W_GreatSword_064","08100012","G_Swd057","223","Azure Elder Great Sword II"
"08100041","W_GreatSword_065","08100012","G_Swd057","224","Abyssal Galeblade"
"08100042","W_GreatSword_066","08100013","G_Swd058","226","Thunderbolt Great Sword I"
"08100043","W_GreatSword_067","08100013","G_Swd058","227","Abyssal Storm Cleaver"
"08100044","W_GreatSword_068","0810002A","G_Swd084","241","Redwing Claymore I"
"08100045","W_GreatSword_069","0810002A","G_Swd084","242","Reddnaught Claymore"
"08100046","W_GreatSword_070","0810001B","G_Swd066","199","Snowclad I"
"08100047","W_GreatSword_071","0810001B","G_Swd066","200","Snowclad II"
"08100048","W_GreatSword_072","0810001B","G_Swd066","201","Lagombi Charlotte"
"08100049","W_GreatSword_073","0810001D","G_Swd068","190","Cataclysm Sword I"
"0810004A","W_GreatSword_074","0810001D","G_Swd068","191","Cataclysm Sword II"
"0810004B","W_GreatSword_075","0810001D","G_Swd068","192","Cataclysm Blade"
"0810004C","W_GreatSword_076","0810001E","G_Swd069","34","Carapace Sword I"
"0810004D","W_GreatSword_077","0810001E","G_Swd069","35","Carapace Sword II"
"0810004E","W_GreatSword_078","0810001E","G_Swd069","36","Carapace Blade"
"0810004F","W_GreatSword_079","0810001F","G_Swd070","46","Khezu Shock Sword I"
"08100050","W_GreatSword_080","0810001F","G_Swd070","47","Khezu Shock Sword II"
"08100051","W_GreatSword_081","0810001F","G_Swd070","48","Khezu Shock Blade"
"08100052","W_GreatSword_082","08100020","G_Swd071","57","Deadly Serpentblade I"
"08100053","W_GreatSword_083","08100020","G_Swd071","58","Deadly Serpentblade II"
"08100054","W_GreatSword_084","08100020","G_Swd071","59","Poison Serpentblade"
"08100055","W_GreatSword_085","0810000A","G_Swd030","96","Pukei Edge I"
"08100056","W_GreatSword_086","0810000A","G_Swd030","97","Pukei Edge II"
"08100057","W_GreatSword_087","0810000A","G_Swd030","98","Datura Cleaver"
"08100058","W_GreatSword_088","0810002B","G_Swd085","156","Jyura Mudblade I"
"08100059","W_GreatSword_089","0810002B","G_Swd085","157","Jyura Mudblade II"
"0810005A","W_GreatSword_090","0810002B","G_Swd085","158","Terracutter"
"0810005B","W_GreatSword_091","08100021","G_Swd072","146","Valkyrie Blade I"
"0810005C","W_GreatSword_092","08100021","G_Swd072","147","Valkyrie Blade II"
"0810005D","W_GreatSword_093","08100021","G_Swd072","148","Sieglinde"
"0810005E","W_GreatSword_094","08100003","G_Swd011","102","Icicle Fang I"
"0810005F","W_GreatSword_095","08100003","G_Swd011","103","Icicle Fang II"
"08100060","W_GreatSword_096","08100003","G_Swd011","104","Paladire"
"08100061","W_GreatSword_097","08100002","G_Swd005","179","Flammenzahn I"
"08100062","W_GreatSword_098","08100002","G_Swd005","180","Flammenzahn II"
"08100063","W_GreatSword_099","08100002","G_Swd005","181","Gnashing Flammenzahn"
"08100064","W_GreatSword_100","08100022","G_Swd074","62","Hidden Blade I"
"08100065","W_GreatSword_101","08100022","G_Swd074","63","Hidden Blade II"
"08100066","W_GreatSword_102","08100022","G_Swd074","64","Dark of Night"
"08100067","W_GreatSword_103","08100023","G_Swd075","24","Hanayako Yohino I"
"08100068","W_GreatSword_104","08100023","G_Swd075","25","Hanayako Yohino II"
"08100069","W_GreatSword_105","08100023","G_Swd075","26","Akanesasu"
"0810006A","W_GreatSword_106","08100001","G_Swd003","162","Red Wing I"
"0810006B","W_GreatSword_107","08100001","G_Swd003","163","Red Wing II"
"0810006C","W_GreatSword_108","08100001","G_Swd003","164","Rathalos Firesword"
"0810006D","W_GreatSword_109","08100024","G_Swd076","185","Usurper's Storm I"
"0810006E","W_GreatSword_110","08100024","G_Swd076","186","Usurper's Storm II"
"0810006F","W_GreatSword_111","08100024","G_Swd076","187","Despot's Blackstorm"
"08100070","W_GreatSword_112","08100004","G_Swd015","40","Tiger Jawblade I"
"08100071","W_GreatSword_113","08100004","G_Swd015","41","Tiger Jawblade II"
"08100072","W_GreatSword_114","08100004","G_Swd015","42","Tigrex Great Sword"
"08100073","W_GreatSword_115","08100025","G_Swd078","168","Quarrel Hornsword I"
"08100074","W_GreatSword_116","08100025","G_Swd078","169","Quarrel Hornsword II"
"08100075","W_GreatSword_117","08100025","G_Swd078","170","Feud Hornsword"
"08100076","W_GreatSword_118","08100000","G_Swd001","229","Icesteel Edge I"
"08100077","W_GreatSword_119","08100000","G_Swd001","230","Daora's Decimator"
"08100078","W_GreatSword_120","08100026","G_Swd079","233","Teostra Blade I"
