"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08700000","W_GunLance_000","08700011","G_Lan057","61","Striker's Gunlance I"
"08700001","W_GunLance_001","08700011","G_Lan057","62","Striker's Gunlance II"
"08700002","W_GunLance_002","08700011","G_Lan057","63","Imperial Guardlance"
"08700003","W_GunLance_003","08700006","G_Lan018","58","Iron Gunlance I"
"08700004","W_GunLance_004","08700006","G_Lan018","59","Iron Gunlance II"
"08700005","W_GunLance_005","08700006","G_Lan018","60","Eizenlitter"
"08700006","W_GunLance_006","08700012","G_Lan058","70","General's Arbalance I"
"08700007","W_GunLance_007","08700012","G_Lan058","71","General's Arbalance II"
"08700008","W_GunLance_008","08700012","G_Lan058","72","Admiral's Arbalance"
"08700009","W_GunLance_009","08700007","G_Lan021","131","Bone Gunlance I"
"0870000A","W_GunLance_010","08700007","G_Lan021","132","Bone Gunlance II"
"0870000B","W_GunLance_011","08700007","G_Lan021","133","Wyvern Bone Gunlance"
"0870000C","W_GunLance_012","08700013","G_Lan059","134","Golem Gunlance I"
"0870000D","W_GunLance_013","08700013","G_Lan059","135","Golem Gunlance II"
"0870000E","W_GunLance_014","08700013","G_Lan059","136","Behemoth Gunlance"
"0870000F","W_GunLance_015","0870000A","G_Lan050","6","Kamura Gunlance I"
"08700010","W_GunLance_016","0870000A","G_Lan050","7","Kamura Gunlance II"
"08700011","W_GunLance_017","0870000A","G_Lan050","8","Kamura Gunlance III"
"08700012","W_GunLance_018","0870000A","G_Lan050","9","Kamura Gunlance IV"
"08700013","W_GunLance_019","0870000A","G_Lan050","10","Kamura Gunlance V"
"08700014","W_GunLance_020","0870000A","G_Lan050","11","Kamura Ninja Gunlance"
"08700015","W_GunLance_021","0870002A","G_Lan084","277","Rampage Gunlance I"
"08700016","W_GunLance_022","0870002A","G_Lan084","278","Rampage Gunlance II"
"08700017","W_GunLance_023","0870002A","G_Lan084","279","Rampage Gunlance III"
"08700018","W_GunLance_024","0870002A","G_Lan084","282","Rampage Gunlance S"
"08700019","W_GunLance_025","08700029","G_Lan083","259","Canyne Cannon I"
"0870001A","W_GunLance_026","08700029","G_Lan083","260","Canyne Cannon II"
"0870001B","W_GunLance_027","08700029","G_Lan083","261","Howlitzer"
"0870001C","W_GunLance_028","08700014","G_Lan060","264","Cornpopper I"
"0870001D","W_GunLance_029","08700014","G_Lan060","265","Cornpopper II"
"0870001E","W_GunLance_030","08700014","G_Lan060","266","Mighty Cornpopper"
"0870001F","W_GunLance_031","08700027","G_Lan081","269","Sleepy Shellgun I"
"08700020","W_GunLance_032","08700027","G_Lan081","270","Sleepy Shellgun II"
"08700021","W_GunLance_033","08700027","G_Lan081","271","Soporific Shellgun"
"08700022","W_GunLance_034","0870000B","G_Lan051","91","Aknosom Gunlance I"
"08700023","W_GunLance_035","0870000B","G_Lan051","92","Aknosom Gunlance II"
"08700024","W_GunLance_036","0870000B","G_Lan051","93","Aknosom Gunlance III"
"08700025","W_GunLance_037","0870000B","G_Lan051","94","Dawnbreaker Gunlance"
"08700026","W_GunLance_038","0870000C","G_Lan052","215","Sinister Gunlance I"
"08700027","W_GunLance_039","0870000C","G_Lan052","216","Sinister Gunlance II"
"08700028","W_GunLance_040","0870000C","G_Lan052","217","Sinister Shadowshot"
"08700029","W_GunLance_041","0870000D","G_Lan053","98","Almudron Gunlance I"
"0870002A","W_GunLance_042","0870000D","G_Lan053","99","Almudron Gunlance II"
"0870002B","W_GunLance_043","0870000D","G_Lan053","100","Doombringer Gunlance"
"0870002C","W_GunLance_044","0870000E","G_Lan054","191","Rakna Gunlance I"
"0870002D","W_GunLance_045","0870000E","G_Lan054","192","Rakna Gunlance II"
"0870002E","W_GunLance_046","0870000E","G_Lan054","193","Araknalance"
"0870002F","W_GunLance_047","0870000F","G_Lan055","233","Azure Elder Gunlance I"
"08700030","W_GunLance_048","0870000F","G_Lan055","234","Azure Elder Gunlance II"
"08700031","W_GunLance_049","0870000F","G_Lan055","235","Abyssal Gale Gunlance"
"08700032","W_GunLance_050","08700010","G_Lan056","237","Thunderbolt Gunlance I"
"08700033","W_GunLance_051","08700010","G_Lan056","238","Abyssal Storm Gunlance"
"08700034","W_GunLance_052","08700028","G_Lan082","253","Redwing Gunlance I"
"08700035","W_GunLance_053","08700028","G_Lan082","254","Reddnaught Gunlance"
"08700036","W_GunLance_054","08700015","G_Lan061","188","Fiore Nulo I"
"08700037","W_GunLance_055","08700015","G_Lan061","189","Fiore Nulo II"
"08700038","W_GunLance_056","08700015","G_Lan061","190","Fiore Unu"
"08700039","W_GunLance_057","08700017","G_Lan063","205","Fiore Nulo White I"
"0870003A","W_GunLance_058","08700017","G_Lan063","206","Fiore Nulo White II"
"0870003B","W_GunLance_059","08700017","G_Lan063","207","Fiore Unu White"
"0870003C","W_GunLance_060","08700016","G_Lan062","210","Fiore Nulo Green I"
"0870003D","W_GunLance_061","08700016","G_Lan062","211","Fiore Nulo Green II"
"0870003E","W_GunLance_062","08700016","G_Lan062","212","Fiore Unu Green"
"0870003F","W_GunLance_063","08700018","G_Lan064","200","Fiore Nulo Black I"
"08700040","W_GunLance_064","08700018","G_Lan064","201","Fiore Nulo Black II"
"08700041","W_GunLance_065","08700018","G_Lan064","202","Fiore Unu Black"
"08700042","W_GunLance_066","08700019","G_Lan065","119","Baggi Gunlance I"
"08700043","W_GunLance_067","08700019","G_Lan065","120","Baggi Gunlance II"
"08700044","W_GunLance_068","08700019","G_Lan065","121","Baggi Gunlance III"
"08700045","W_GunLance_069","08700019","G_Lan065","122","Lullabyte Sleeplance"
"08700046","W_GunLance_070","0870001A","G_Lan066","172","Lagomberator I"
"08700047","W_GunLance_071","0870001A","G_Lan066","173","Lagomberator II"
"08700048","W_GunLance_072","0870001A","G_Lan066","174","Lagomberator III"
"08700049","W_GunLance_073","0870001A","G_Lan066","175","Lagomberatrix"
"0870004A","W_GunLance_074","08700026","G_Lan080","42","Delex Harpoon I"
"0870004B","W_GunLance_075","08700026","G_Lan080","43","Delex Harpoon II"
"0870004C","W_GunLance_076","08700026","G_Lan080","44","Sand Blaster Gunlance"
"0870004D","W_GunLance_077","0870001B","G_Lan067","178","Ludroth Harpoon I"
"0870004E","W_GunLance_078","0870001B","G_Lan067","179","Ludroth Harpoon II"
"0870004F","W_GunLance_079","0870001B","G_Lan067","180","Ludroth Harpoon III"
"08700050","W_GunLance_080","0870001B","G_Lan067","181","Ludroth Shellbreaker"
