"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08300000","W_Hammer_000","08300004","Ham019","60","Iron Hammer I"
"08300001","W_Hammer_001","08300004","Ham019","61","Iron Devil"
"08300002","W_Hammer_002","08300003","Ham018","62","War Hammer I"
"08300003","W_Hammer_003","08300003","Ham018","63","War Mace"
"08300004","W_Hammer_004","08300013","Ham059","54","Gun Hammer I"
"08300005","W_Hammer_005","08300013","Ham059","55","Gun Hammer II"
"08300006","W_Hammer_006","08300013","Ham059","56","Deadeye Revolver"
"08300007","W_Hammer_007","08300014","Ham060","69","Great Nova I"
"08300008","W_Hammer_008","08300014","Ham060","70","Great Nova II"
"08300009","W_Hammer_009","08300014","Ham060","71","Super Nova"
"0830000A","W_Hammer_010","08300001","Ham007","124","Frozen Core I"
"0830000B","W_Hammer_011","08300001","Ham007","125","Frozen Core II"
"0830000C","W_Hammer_012","08300001","Ham007","126","Cocytus"
"0830000D","W_Hammer_013","08300015","Ham061","98","Devil Masher I"
"0830000E","W_Hammer_014","08300015","Ham061","99","Devil Masher II"
"0830000F","W_Hammer_015","08300015","Ham061","100","Iron Devil's Soul"
"08300010","W_Hammer_016","08300016","Ham062","64","War Stamp I"
"08300011","W_Hammer_017","08300016","Ham062","65","War Basher"
"08300012","W_Hammer_018","08300017","Ham063","133","Bone Hammer I"
"08300013","W_Hammer_019","08300017","Ham063","134","Bone Hammer II"
"08300014","W_Hammer_020","08300017","Ham063","135","Hard Bone Hammer"
"08300015","W_Hammer_021","08300018","Ham064","145","Cyclo-Hammer I"
"08300016","W_Hammer_022","08300018","Ham064","146","Cyclo-Hammer II"
"08300017","W_Hammer_023","08300018","Ham064","147","Atlas Hammer"
"08300018","W_Hammer_024","08300005","Ham020","136","Bone Bludgeon I"
"08300019","W_Hammer_025","08300005","Ham020","137","Bone Bludgeon II"
"0830001A","W_Hammer_026","08300005","Ham020","138","Heavy Bone Bludgeon"
"0830001B","W_Hammer_027","0830000A","Ham050","6","Kamura Hammer I"
"0830001C","W_Hammer_028","0830000A","Ham050","7","Kamura Hammer II"
"0830001D","W_Hammer_029","0830000A","Ham050","8","Kamura Hammer III"
"0830001E","W_Hammer_030","0830000A","Ham050","9","Kamura Hammer IV"
"0830001F","W_Hammer_031","0830000A","Ham050","10","Kamura Hammer V"
"08300020","W_Hammer_032","0830000A","Ham050","11","Kamura Ninja Hammer"
"08300021","W_Hammer_033","0830002E","Ham089","287","Rampage Hammer I"
"08300022","W_Hammer_034","0830002E","Ham089","288","Rampage Hammer II"
"08300023","W_Hammer_035","0830002E","Ham089","289","Rampage Hammer III"
"08300024","W_Hammer_036","0830002E","Ham089","292","Rampage Hammer S"
"08300025","W_Hammer_037","08300019","Ham065","268","Teddybear I"
"08300026","W_Hammer_038","08300019","Ham065","269","Teddybear II"
"08300027","W_Hammer_039","08300019","Ham065","270","Sleepy Bear"
"08300028","W_Hammer_040","0830001B","Ham068","273","Graceful Death I"
"08300029","W_Hammer_041","0830001B","Ham068","274","Graceful Death II"
"0830002A","W_Hammer_042","0830001B","Ham068","275","Graceful Death III"
"0830002B","W_Hammer_043","0830001B","Ham068","276","Yadora Morte"
"0830002C","W_Hammer_044","0830001A","Ham066","279","Pumpking I"
"0830002D","W_Hammer_045","0830001A","Ham066","280","Pumpking II"
"0830002E","W_Hammer_046","0830001A","Ham066","281","Jack-'o-lantern King"
"0830002F","W_Hammer_047","0830000B","Ham051","202","Izuchi Hammer I"
"08300030","W_Hammer_048","0830000B","Ham051","203","Izuchi Hammer II"
"08300031","W_Hammer_049","0830000B","Ham051","204","Snapper Hammer"
"08300032","W_Hammer_050","0830000C","Ham052","40","Five-Pronged Hammer I"
"08300033","W_Hammer_051","0830000C","Ham052","41","Five-Pronged Hammer II"
"08300034","W_Hammer_052","0830000C","Ham052","42","Great Pronged Hammer"
"08300035","W_Hammer_053","0830000D","Ham053","109","Frilled Blow I"
"08300036","W_Hammer_054","0830000D","Ham053","110","Frilled Blow II"
"08300037","W_Hammer_055","0830000D","Ham053","111","Illusory Frilled Blow"
"08300038","W_Hammer_056","0830000E","Ham054","220","Sinister Hammer I"
"08300039","W_Hammer_057","0830000E","Ham054","221","Sinister Hammer II"
"0830003A","W_Hammer_058","0830000E","Ham054","222","Sinister Shade Hammer"
"0830003B","W_Hammer_059","0830000F","Ham055","176","Yeti Hammer I"
"0830003C","W_Hammer_060","0830000F","Ham055","177","Yeti Hammer II"
"0830003D","W_Hammer_061","0830000F","Ham055","178","Yeti Hammer III"
"0830003E","W_Hammer_062","0830000F","Ham055","179","Abominable Hammer"
"0830003F","W_Hammer_063","08300010","Ham056","31","Almudron Hammer I"
"08300040","W_Hammer_064","08300010","Ham056","32","Almudron Hammer II"
"08300041","W_Hammer_065","08300010","Ham056","33","Doom Bringer Hammer"
"08300042","W_Hammer_066","08300011","Ham057","243","Azure Elder Hammer I"
