"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08D00000","W_HeavyBowgun_000","08D00005","H_Bg020","65","Iron Assault I"
"08D00001","W_HeavyBowgun_001","08D00005","H_Bg020","66","Iron Assault II"
"08D00002","W_HeavyBowgun_002","08D00005","H_Bg020","67","Steel Assault"
"08D00003","W_HeavyBowgun_003","08D00011","H_Bg058","83","Meteor Bazooka I"
"08D00004","W_HeavyBowgun_004","08D00011","H_Bg058","84","Meteor Bazooka II"
"08D00005","W_HeavyBowgun_005","08D00011","H_Bg058","85","Meteor Cannon"
"08D00006","W_HeavyBowgun_006","08D00012","H_Bg060","68","Striker's Bowgun I"
"08D00007","W_HeavyBowgun_007","08D00012","H_Bg060","69","Striker's Bowgun II"
"08D00008","W_HeavyBowgun_008","08D00012","H_Bg060","70","Elite Bowgun"
"08D00009","W_HeavyBowgun_009","08D00006","H_Bg021","127","Bone Shooter I"
"08D0000A","W_HeavyBowgun_010","08D00006","H_Bg021","128","Bone Shooter II"
"08D0000B","W_HeavyBowgun_011","08D00006","H_Bg021","129","Bone Buster"
"08D0000C","W_HeavyBowgun_012","08D00009","H_Bg050","6","Kamura H. Bowgun I"
"08D0000D","W_HeavyBowgun_013","08D00009","H_Bg050","7","Kamura H. Bowgun II"
"08D0000E","W_HeavyBowgun_014","08D00009","H_Bg050","8","Kamura H. Bowgun III"
"08D0000F","W_HeavyBowgun_015","08D00009","H_Bg050","9","Kamura H. Bowgun IV"
"08D00010","W_HeavyBowgun_016","08D00009","H_Bg050","10","Kamura H. Bowgun V"
"08D00011","W_HeavyBowgun_017","08D00009","H_Bg050","11","Kamura Ninja H. Bowgun"
"08D00012","W_HeavyBowgun_018","08D00026","H_Bg083","257","Rampage H. Bowgun I"
"08D00013","W_HeavyBowgun_019","08D00026","H_Bg083","258","Rampage H. Bowgun II"
"08D00014","W_HeavyBowgun_020","08D00026","H_Bg083","259","Rampage H. Bowgun III"
"08D00015","W_HeavyBowgun_021","08D00026","H_Bg083","262","Rampage H. Bowgun S"
"08D00016","W_HeavyBowgun_022","08D00013","H_Bg061","241","Ladybug Cannon I"
"08D00017","W_HeavyBowgun_023","08D00013","H_Bg061","242","Ladybug Cannon II"
"08D00018","W_HeavyBowgun_024","08D00013","H_Bg061","243","Ladybug Mortar"
"08D00019","W_HeavyBowgun_025","08D00015","H_Bg063","246","Felyne Bowgun I"
"08D0001A","W_HeavyBowgun_026","08D00015","H_Bg063","247","Felyne Bowgun II"
"08D0001B","W_HeavyBowgun_027","08D00015","H_Bg063","248","Felyne Cannon"
