"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08900000","W_Horn_000","08900005","Hrn018","72","Metal Bagpipe I"
"08900001","W_Horn_001","08900005","Hrn018","73","Great Bagpipe"
"08900002","W_Horn_002","08900012","Hrn058","70","Iron Horn I"
"08900003","W_Horn_003","08900012","Hrn058","71","Wind Horn"
"08900004","W_Horn_004","08900013","Hrn059","74","Heavy Bagpipe I"
"08900005","W_Horn_005","08900013","Hrn059","75","Fortissimo"
"08900006","W_Horn_006","08900006","Hrn020","141","Bone Horn I"
"08900007","W_Horn_007","08900006","Hrn020","142","Bone Horn II"
"08900008","W_Horn_008","08900006","Hrn020","143","Hardened Bone Horn"
"08900009","W_Horn_009","08900014","Hrn060","144","Hunter's Horn I"
"0890000A","W_Horn_010","08900014","Hrn060","145","Native's Horn"
"0890000B","W_Horn_011","0890000A","Hrn050","6","Kamura Chorus I"
"0890000C","W_Horn_012","0890000A","Hrn050","7","Kamura Chorus II"
"0890000D","W_Horn_013","0890000A","Hrn050","8","Kamura Chorus III"
"0890000E","W_Horn_014","0890000A","Hrn050","9","Kamura Chorus IV"
"0890000F","W_Horn_015","0890000A","Hrn050","10","Kamura Chorus V"
"08900010","W_Horn_016","0890000A","Hrn050","11","Kamura Ninja Horn"
"08900011","W_Horn_017","0890002C","Hrn087","274","Rampage Agitato I"
"08900012","W_Horn_018","0890002C","Hrn087","275","Rampage Agitato II"
"08900013","W_Horn_019","0890002C","Hrn087","276","Rampage Agitato III"
"08900014","W_Horn_020","0890002C","Hrn087","279","Rampage Agitato S"
"08900015","W_Horn_021","0890002B","Hrn086","266","Grass Flute I"
"08900016","W_Horn_022","0890002B","Hrn086","267","Grass Flute II"
"08900017","W_Horn_023","0890002B","Hrn086","268","Bombadgy's Cry"
"08900018","W_Horn_024","08900015","Hrn061","255","Magia Charm I"
"08900019","W_Horn_025","08900015","Hrn061","256","Magia Charm II"
"0890001A","W_Horn_026","08900015","Hrn061","257","Magia Charm III"
"0890001B","W_Horn_027","08900015","Hrn061","258","Magia Charmbell"
"0890001C","W_Horn_028","08900016","Hrn062","250","Poison Fungasax I"
"0890001D","W_Horn_029","08900016","Hrn062","251","Poison Fungasax II"
"0890001E","W_Horn_030","08900016","Hrn062","252","Toxic Fungasax"
"0890001F","W_Horn_031","08900017","Hrn063","261","Cornupion I"
"08900020","W_Horn_032","08900017","Hrn063","262","Cornupion II"
"08900021","W_Horn_033","08900017","Hrn063","263","Webbed Cornupion"
"08900022","W_Horn_034","0890000B","Hrn051","127","Wind Thief Horn I"
"08900023","W_Horn_035","0890000B","Hrn051","128","Wind Thief Horn II"
"08900024","W_Horn_036","0890000B","Hrn051","129","Gale Horn"
"08900025","W_Horn_037","0890000C","Hrn052","121","Frog Flute I"
"08900026","W_Horn_038","0890000C","Hrn052","122","Frog Flute II"
"08900027","W_Horn_039","0890000C","Hrn052","123","Amphibia Allargando"
"08900028","W_Horn_040","0890000D","Hrn053","61","Frilled Flute I"
"08900029","W_Horn_041","0890000D","Hrn053","62","Frilled Flute II"
"0890002A","W_Horn_042","0890000D","Hrn053","63","Illusory Flute"
"0890002B","W_Horn_043","0890000E","Hrn054","202","Sinister Strum I"
"0890002C","W_Horn_044","0890000E","Hrn054","203","Sinister Strum II"
"0890002D","W_Horn_045","0890000E","Hrn054","204","Sinister Shadestrum"
"0890002E","W_Horn_046","0890000F","Hrn055","25","Sublime Bell I"
"0890002F","W_Horn_047","0890000F","Hrn055","26","Sublime Bell II"
"08900030","W_Horn_048","0890000F","Hrn055","27","Araknahorn"
"08900031","W_Horn_049","08900010","Hrn056","220","Azure Elder Horn I"
"08900032","W_Horn_050","08900010","Hrn056","221","Azure Elder Horn II"
"08900033","W_Horn_051","08900010","Hrn056","222","Abyssal Gale Horn"
"08900034","W_Horn_052","08900011","Hrn057","224","Thunderbolt Horn I"
"08900035","W_Horn_053","08900011","Hrn057","225","Abyssal Storm Horn"
"08900036","W_Horn_054","0890002A","Hrn084","244","Redwing Flute I"
"08900037","W_Horn_055","0890002A","Hrn084","245","Reddnaught Ritmico"
"08900038","W_Horn_056","08900018","Hrn064","161","Bull Grunt I"
"08900039","W_Horn_057","08900018","Hrn064","162","Bull Grunt II"
"0890003A","W_Horn_058","08900018","Hrn064","163","Wild Grunt"
"0890003B","W_Horn_059","08900019","Hrn065","183","Vicello Nulo I"
"0890003C","W_Horn_060","08900019","Hrn065","184","Vicello Nulo II"
"0890003D","W_Horn_061","08900019","Hrn065","185","Vicello Unu"
"0890003E","W_Horn_062","0890001B","Hrn067","197","Vicello Nulo White I"
"0890003F","W_Horn_063","0890001B","Hrn067","198","Vicello Nulo White II"
"08900040","W_Horn_064","0890001B","Hrn067","199","Vicello Unu White"
"08900041","W_Horn_065","0890001A","Hrn066","192","Vicello Nulo Green I"
"08900042","W_Horn_066","0890001A","Hrn066","193","Vicello Nulo Green II"
"08900043","W_Horn_067","0890001A","Hrn066","194","Vicello Unu Green"
"08900044","W_Horn_068","0890001C","Hrn068","186","Vicello Nulo Black I"
"08900045","W_Horn_069","0890001C","Hrn068","187","Vicello Nulo Black II"
"08900046","W_Horn_070","0890001C","Hrn068","188","Vicello Uno Black"
"08900047","W_Horn_071","0890001D","Hrn069","44","Zurogong Primo I"
"08900048","W_Horn_072","0890001D","Hrn069","45","Zurogong Primo II"
"08900049","W_Horn_073","0890001D","Hrn069","46","Zurogong Secundo"
"0890004A","W_Horn_074","08900007","Hrn029","172","Kulu Mosso I"
"0890004B","W_Horn_075","08900007","Hrn029","173","Kulu Mosso II"
"0890004C","W_Horn_076","08900007","Hrn029","174","Kulu Grosso"
"0890004D","W_Horn_077","0890001E","Hrn070","132","Droth Drone I"
"0890004E","W_Horn_078","0890001E","Hrn070","133","Droth Drone II"
"0890004F","W_Horn_079","0890001E","Hrn070","134","Droth Roar"
"08900050","W_Horn_080","0890001F","Hrn071","115","Sandpipe I"
"08900051","W_Horn_081","0890001F","Hrn071","116","Sandpipe II"
"08900052","W_Horn_082","0890001F","Hrn071","117","Sandcrier"
"08900053","W_Horn_083","08900020","Hrn072","177","Khezu Horn I"
"08900054","W_Horn_084","08900020","Hrn072","178","Khezu Horn II"
"08900055","W_Horn_085","08900020","Hrn072","179","Khezu Flute"
"08900056","W_Horn_086","08900008","Hrn031","92","Pukei Bagpipe I"
"08900057","W_Horn_087","08900008","Hrn031","93","Pukei Bagpipe II"
"08900058","W_Horn_088","08900008","Hrn031","94","Datura Lurr"
"08900059","W_Horn_089","08900021","Hrn073","34","Basarios Rock I"
"0890005A","W_Horn_090","08900021","Hrn073","35","Basarios Rock Mk.II"
"0890005B","W_Horn_091","08900021","Hrn073","36","Gigant Rock"
"0890005C","W_Horn_092","08900001","Hrn002","104","Valkyrie Chordmaker I"
"0890005D","W_Horn_093","08900001","Hrn002","105","Valkyrie Chordmaker II"
"0890005E","W_Horn_094","08900001","Hrn002","106","Queen Chordmaker"
"0890005F","W_Horn_095","08900022","Hrn074","55","Bariguiro I"
"08900060","W_Horn_096","08900022","Hrn074","56","Bariguiro II"
"08900061","W_Horn_097","08900022","Hrn074","57","Algiguiro"
"08900062","W_Horn_098","08900009","Hrn034","98","Flammenkornett I"
"08900063","W_Horn_099","08900009","Hrn034","99","Flammenkornett II"
"08900064","W_Horn_100","08900009","Hrn034","100","Forte Flammenkornett"
"08900065","W_Horn_101","08900004","Hrn013","85","Hidden Harmonic I"
"08900066","W_Horn_102","08900004","Hrn013","86","Hidden Harmonic II"
"08900067","W_Horn_103","08900004","Hrn013","87","Cry in the Night"
"08900068","W_Horn_104","08900023","Hrn076","18","Poetic Bell I"
"08900069","W_Horn_105","08900023","Hrn076","19","Poetic Bell II"
"0890006A","W_Horn_106","08900023","Hrn076","20","Summoning Bell"
"0890006B","W_Horn_107","08900024","Hrn077","167","Flame Feroce I"
"0890006C","W_Horn_108","08900024","Hrn077","168","Flame Feroce II"
"0890006D","W_Horn_109","08900024","Hrn077","169","Rathalos Feroce"
"0890006E","W_Horn_110","08900025","Hrn078","39","Usurper's Growl I"
"0890006F","W_Horn_111","08900025","Hrn078","40","Usurper's Growl II"
"08900070","W_Horn_112","08900025","Hrn078","41","Despot's Thunderclap"
"08900071","W_Horn_113","08900003","Hrn012","49","Striped Dragonga I"
