"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08A00000","W_InsectGlaive_000","08A00011","I_Gla058","56","Iron Bayonet I"
"08A00001","W_InsectGlaive_001","08A00011","I_Gla058","57","Iron Bayonet II"
"08A00002","W_InsectGlaive_002","08A00011","I_Gla058","58","Hiten Blade"
"08A00003","W_InsectGlaive_003","08A00004","I_Gla018","53","Iron Blade I"
"08A00004","W_InsectGlaive_004","08A00004","I_Gla018","54","Iron Blade II"
"08A00005","W_InsectGlaive_005","08A00004","I_Gla018","55","Steel Blade"
"08A00006","W_InsectGlaive_006","08A00005","I_Gla020","112","Bone Staff I"
"08A00007","W_InsectGlaive_007","08A00005","I_Gla020","113","Bone Staff II"
"08A00008","W_InsectGlaive_008","08A00005","I_Gla020","114","Aerial Glaive"
"08A00009","W_InsectGlaive_009","08A00012","I_Gla059","115","Sturdy Glaive I"
"08A0000A","W_InsectGlaive_010","08A00012","I_Gla059","116","Sturdy Glaive II"
"08A0000B","W_InsectGlaive_011","08A00012","I_Gla059","117","Sturdy Glaive Redux"
"08A0000C","W_InsectGlaive_012","08A00013","I_Gla060","127","Sky-High Glaive I"
"08A0000D","W_InsectGlaive_013","08A00013","I_Gla060","128","Sky-High Glaive II"
"08A0000E","W_InsectGlaive_014","08A00013","I_Gla060","129","Highest of Glaives"
"08A0000F","W_InsectGlaive_015","08A00009","I_Gla050","6","Kamura Glaive I"
"08A00010","W_InsectGlaive_016","08A00009","I_Gla050","7","Kamura Glaive II"
"08A00011","W_InsectGlaive_017","08A00009","I_Gla050","8","Kamura Glaive III"
"08A00012","W_InsectGlaive_018","08A00009","I_Gla050","9","Kamura Glaive IV"
"08A00013","W_InsectGlaive_019","08A00009","I_Gla050","10","Kamura Glaive V"
"08A00014","W_InsectGlaive_020","08A00009","I_Gla050","11","Kamura Ninja Glaive"
"08A00015","W_InsectGlaive_021","08A00029","I_Gla083","265","Rampage Glaive I"
"08A00016","W_InsectGlaive_022","08A00029","I_Gla083","266","Rampage Glaive II"
"08A00017","W_InsectGlaive_023","08A00029","I_Gla083","267","Rampage Glaive III"
"08A00018","W_InsectGlaive_024","08A00029","I_Gla083","270","Rampage Glaive S"
"08A00019","W_InsectGlaive_025","08A00028","I_Gla082","257","Brush Glaive I"
"08A0001A","W_InsectGlaive_026","08A00028","I_Gla082","258","Brush Glaive II"
"08A0001B","W_InsectGlaive_027","08A00028","I_Gla082","259","Watercolor Glaive"
"08A0001C","W_InsectGlaive_028","08A00014","I_Gla061","251","Magia Pitareen I"
"08A0001D","W_InsectGlaive_029","08A00014","I_Gla061","252","Magia Pitareen II"
"08A0001E","W_InsectGlaive_030","08A00014","I_Gla061","253","Magia Pitareen III"
"08A0001F","W_InsectGlaive_031","08A00014","I_Gla061","254","Magia Crescent"
"08A00020","W_InsectGlaive_032","08A00015","I_Gla063","246","Deathport Staff I"
"08A00021","W_InsectGlaive_033","08A00015","I_Gla063","247","Deathport Staff II"
"08A00022","W_InsectGlaive_034","08A00015","I_Gla063","248","Garamorse"
"08A00023","W_InsectGlaive_035","08A0000A","I_Gla051","90","Aknosom Pike I"
"08A00024","W_InsectGlaive_036","08A0000A","I_Gla051","91","Aknosom Pike II"
"08A00025","W_InsectGlaive_037","08A0000A","I_Gla051","92","Daybreak Glaive"
"08A00026","W_InsectGlaive_038","08A0000B","I_Gla052","47","Leaping Glaive I"
"08A00027","W_InsectGlaive_039","08A0000B","I_Gla052","48","Leaping Glaive II"
"08A00028","W_InsectGlaive_040","08A0000B","I_Gla052","49","Leapfrog"
"08A00029","W_InsectGlaive_041","08A0000C","I_Gla053","32","Frilled Jab I"
"08A0002A","W_InsectGlaive_042","08A0000C","I_Gla053","33","Frilled Jab II"
"08A0002B","W_InsectGlaive_043","08A0000C","I_Gla053","34","Illusory Frilled Jab"
"08A0002C","W_InsectGlaive_044","08A0000D","I_Gla054","207","Sinister Staff I"
"08A0002D","W_InsectGlaive_045","08A0000D","I_Gla054","208","Sinister Staff II"
"08A0002E","W_InsectGlaive_046","08A0000D","I_Gla054","209","Sinister Shadowstaff"
"08A0002F","W_InsectGlaive_047","08A0000E","I_Gla055","145","Gossglaive I"
"08A00030","W_InsectGlaive_048","08A0000E","I_Gla055","146","Gossglaive II"
"08A00031","W_InsectGlaive_049","08A0000E","I_Gla055","147","Abominable Glaive"
"08A00032","W_InsectGlaive_050","08A0000F","I_Gla056","225","Azure Elder Glaive I"
"08A00033","W_InsectGlaive_051","08A0000F","I_Gla056","226","Azure Elder Glaive II"
"08A00034","W_InsectGlaive_052","08A0000F","I_Gla056","227","Abyssal Gale Glaive"
"08A00035","W_InsectGlaive_053","08A00010","I_Gla057","229","Thunderbolt Glaive I"
"08A00036","W_InsectGlaive_054","08A00010","I_Gla057","230","Abyssal Storm Glaive"
"08A00037","W_InsectGlaive_055","08A00026","I_Gla080","240","Redwing Glaive I"
"08A00038","W_InsectGlaive_056","08A00026","I_Gla080","241","Reddnaught Shuma"
"08A00039","W_InsectGlaive_057","08A00016","I_Gla064","183","Rielle Nulo I"
"08A0003A","W_InsectGlaive_058","08A00016","I_Gla064","184","Rielle Nulo II"
"08A0003B","W_InsectGlaive_059","08A00016","I_Gla064","185","Rielle Unu"
"08A0003C","W_InsectGlaive_060","08A00019","I_Gla067","186","Rielle Nulo Red I"
"08A0003D","W_InsectGlaive_061","08A00019","I_Gla067","187","Rielle Nulo Red II"
"08A0003E","W_InsectGlaive_062","08A00019","I_Gla067","188","Rielle Vermiglio"
"08A0003F","W_InsectGlaive_063","08A00018","I_Gla066","197","Rielle Nulo White I"
"08A00040","W_InsectGlaive_064","08A00018","I_Gla066","198","Rielle Nulo White II"
