"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08C00000","W_LightBowgun_000","08C0000F","L_Bg059","69","Hunter's Rifle I"
"08C00001","W_LightBowgun_001","08C0000F","L_Bg059","70","Hunter's Rifle II"
"08C00002","W_LightBowgun_002","08C0000F","L_Bg059","71","Sniper Shot"
"08C00003","W_LightBowgun_003","08C00010","L_Bg060","72","Jaeger I"
"08C00004","W_LightBowgun_004","08C00010","L_Bg060","73","Jaeger II"
"08C00005","W_LightBowgun_005","08C00010","L_Bg060","74","Jaeger Prime"
"08C00006","W_LightBowgun_006","08C00001","L_Bg007","133","Cross Bowgun I"
"08C00007","W_LightBowgun_007","08C00001","L_Bg007","134","Cross Bowgun II"
"08C00008","W_LightBowgun_008","08C00001","L_Bg007","135","Cross Blitz"
"08C00009","W_LightBowgun_009","08C00011","L_Bg061","136","Yakt Shooter I"
"08C0000A","W_LightBowgun_010","08C00011","L_Bg061","137","Yakt Shooter II"
"08C0000B","W_LightBowgun_011","08C00011","L_Bg061","138","Wyvern Chaser"
"08C0000C","W_LightBowgun_012","08C00006","L_Bg050","6","Kamura L. Bowgun I"
"08C0000D","W_LightBowgun_013","08C00006","L_Bg050","7","Kamura L. Bowgun II"
"08C0000E","W_LightBowgun_014","08C00006","L_Bg050","8","Kamura L. Bowgun III"
"08C0000F","W_LightBowgun_015","08C00006","L_Bg050","9","Kamura L. Bowgun IV"
"08C00010","W_LightBowgun_016","08C00006","L_Bg050","10","Kamura L. Bowgun V"
"08C00011","W_LightBowgun_017","08C00006","L_Bg050","11","Kamura Ninja L. Bowgun"
"08C00012","W_LightBowgun_018","08C00024","L_Bg084","251","Rampage L. Bowgun I"
"08C00013","W_LightBowgun_019","08C00024","L_Bg084","252","Rampage L. Bowgun II"
"08C00014","W_LightBowgun_020","08C00024","L_Bg084","253","Rampage L. Bowgun III"
"08C00015","W_LightBowgun_021","08C00024","L_Bg084","256","Rampage L. Bowgun S"
