"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08500000","W_LongSword_000","08500005","L_Swd019","60","Iron Katana I"
"08500001","W_LongSword_001","08500005","L_Swd019","61","Iron Katana II"
"08500002","W_LongSword_002","08500005","L_Swd019","62","Iron Gospel"
"08500003","W_LongSword_003","08500014","L_Swd059","89","Eager Cleaver I"
"08500004","W_LongSword_004","08500014","L_Swd059","90","Eager Cleaver II"
"08500005","W_LongSword_005","08500014","L_Swd059","91","Devil Slicer"
"08500006","W_LongSword_006","08500015","L_Swd060","34","Guardian Sword I"
"08500007","W_LongSword_007","08500015","L_Swd060","35","Guardian Sword II"
"08500008","W_LongSword_008","08500015","L_Swd060","36","Imperial Sword"
"08500009","W_LongSword_009","08500016","L_Swd061","100","Chillblade I"
"0850000A","W_LongSword_010","08500016","L_Swd061","101","Chillblade II"
"0850000B","W_LongSword_011","08500016","L_Swd061","102","Rimeblossom"
"0850000C","W_LongSword_012","08500006","L_Swd021","63","Keen Edge I"
"0850000D","W_LongSword_013","08500006","L_Swd021","64","Keen Edge II"
"0850000E","W_LongSword_014","08500006","L_Swd021","65","Julienne Blade"
"0850000F","W_LongSword_015","08500007","L_Swd024","163","Bone Scythe I"
"08500010","W_LongSword_016","08500007","L_Swd024","164","Bone Scythe II"
"08500011","W_LongSword_017","08500007","L_Swd024","165","Bone Reaper"
"08500012","W_LongSword_018","08500017","L_Swd062","212","Dark Scythe I"
"08500013","W_LongSword_019","08500017","L_Swd062","213","Tormentor"
"08500014","W_LongSword_020","08500018","L_Swd063","126","Serrated Jaw I"
"08500015","W_LongSword_021","08500018","L_Swd063","127","Serrated Jaw II"
"08500016","W_LongSword_022","08500018","L_Swd063","128","Serrated Maw"
"08500017","W_LongSword_023","08500019","L_Swd064","223","Scythe of Menace I"
"08500018","W_LongSword_024","08500019","L_Swd064","224","Scythe of Menace II"
"08500019","W_LongSword_025","08500019","L_Swd064","225","Big Menacing Scythe"
"0850001A","W_LongSword_026","0850000C","L_Swd050","6","Kamura Blade I"
"0850001B","W_LongSword_027","0850000C","L_Swd050","7","Kamura Blade II"
"0850001C","W_LongSword_028","0850000C","L_Swd050","8","Kamura Blade III"
"0850001D","W_LongSword_029","0850000C","L_Swd050","9","Kamura Blade IV"
"0850001E","W_LongSword_030","0850000C","L_Swd050","10","Kamura Blade V"
"0850001F","W_LongSword_031","0850000C","L_Swd050","11","Kamura Ninja Blade"
"08500020","W_LongSword_032","0850002D","L_Swd089","291","Rampage Blade I"
"08500021","W_LongSword_033","0850002D","L_Swd089","292","Rampage Blade II"
"08500022","W_LongSword_034","0850002D","L_Swd089","293","Rampage Blade III"
"08500023","W_LongSword_035","0850002D","L_Swd089","296","Rampage Blade S"
"08500024","W_LongSword_036","0850002C","L_Swd088","283","Hand-Me-Down Sword I"
"08500025","W_LongSword_037","0850002C","L_Swd088","284","Hand-Me-Down Sword II"
"08500026","W_LongSword_038","0850002C","L_Swd088","285","Kamura's Inheritance"
"08500027","W_LongSword_039","0850001A","L_Swd067","277","Cawscythe I"
"08500028","W_LongSword_040","0850001A","L_Swd067","278","Cawscythe II"
"08500029","W_LongSword_041","0850001A","L_Swd067","279","Cawscythe III"
"0850002A","W_LongSword_042","0850001A","L_Swd067","280","Squawkscythe"
"0850002B","W_LongSword_043","0850000D","L_Swd051","207","Wind Thief Scimitar I"
"0850002C","W_LongSword_044","0850000D","L_Swd051","208","Wind Thief Scimitar II"
"0850002D","W_LongSword_045","0850000D","L_Swd051","209","Gale Scimitar"
"0850002E","W_LongSword_046","0850000E","L_Swd052","23","Aknosom Sabre I"
"0850002F","W_LongSword_047","0850000E","L_Swd052","24","Aknosom Sabre II"
"08500030","W_LongSword_048","0850000E","L_Swd052","25","Daybreak Blade"
"08500031","W_LongSword_049","0850000F","L_Swd053","184","Frilled Slash I"
"08500032","W_LongSword_050","0850000F","L_Swd053","185","Frilled Slash II"
"08500033","W_LongSword_051","0850000F","L_Swd053","186","Illusory Frilled Slash"
"08500034","W_LongSword_052","08500010","L_Swd054","229","Sinister Long Sword I"
