"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08200000","W_ShortSword_000","08200005","S_Swd018","75","Hunter's Knife I"
"08200001","W_ShortSword_001","08200005","S_Swd018","76","Hunter's Knife II"
"08200002","W_ShortSword_002","08200005","S_Swd018","77","Fighter Sword"
"08200003","W_ShortSword_003","08200012","S_Swd058","66","Frost Edge I"
"08200004","W_ShortSword_004","08200012","S_Swd058","67","Frost Edge II"
"08200005","W_ShortSword_005","08200012","S_Swd058","68","Hi Frost Edge"
"08200006","W_ShortSword_006","08200006","S_Swd019","78","Iron Beater I"
"08200007","W_ShortSword_007","08200006","S_Swd019","79","Iron Beater II"
"08200008","W_ShortSword_008","08200006","S_Swd019","80","Smithy's Pride"
"08200009","W_ShortSword_009","08200013","S_Swd059","272","Ninja Sword I"
"0820000A","W_ShortSword_010","08200013","S_Swd059","273","Hi Ninja Sword"
"0820000B","W_ShortSword_011","08200014","S_Swd060","89","Odyssey Blade I"
"0820000C","W_ShortSword_012","08200014","S_Swd060","90","Odyssey Blade II"
"0820000D","W_ShortSword_013","08200014","S_Swd060","91","Master Odyssey"
"0820000E","W_ShortSword_014","08200007","S_Swd021","130","Bone Kukri I"
"0820000F","W_ShortSword_015","08200007","S_Swd021","131","Bone Kukri II"
"08200010","W_ShortSword_016","08200007","S_Swd021","132","Chief Kukri"
"08200011","W_ShortSword_017","08200008","S_Swd022","133","Bone Barong I"
"08200012","W_ShortSword_018","08200008","S_Swd022","134","Bone Barong II"
"08200013","W_ShortSword_019","08200008","S_Swd022","135","Grand Barong"
"08200014","W_ShortSword_020","08200015","S_Swd061","153","Bone Tabar I"
"08200015","W_ShortSword_021","08200015","S_Swd061","154","Bone Tabar II"
"08200016","W_ShortSword_022","08200015","S_Swd061","155","Ragdos Tabar"
"08200017","W_ShortSword_023","0820000A","S_Swd050","6","Kamura Sword I"
"08200018","W_ShortSword_024","0820000A","S_Swd050","7","Kamura Sword II"
"08200019","W_ShortSword_025","0820000A","S_Swd050","8","Kamura Sword III"
"0820001A","W_ShortSword_026","0820000A","S_Swd050","9","Kamura Sword IV"
"0820001B","W_ShortSword_027","0820000A","S_Swd050","10","Kamura Sword V"
"0820001C","W_ShortSword_028","0820000A","S_Swd050","11","Kamura Ninja Sword"
"0820001D","W_ShortSword_029","0820002E","S_Swd089","279","Rampage Sword I"
"0820001E","W_ShortSword_030","0820002E","S_Swd089","280","Rampage Sword II"
"0820001F","W_ShortSword_031","0820002E","S_Swd089","281","Rampage Sword III"
"08200020","W_ShortSword_032","0820002E","S_Swd089","284","Rampage Sword S"
"08200021","W_ShortSword_033","08200016","S_Swd063","267","Catspaw I"
"08200022","W_ShortSword_034","08200016","S_Swd063","268","Catspaw II"
"08200023","W_ShortSword_035","08200016","S_Swd063","269","Catburglar"
"08200024","W_ShortSword_036","0820002D","S_Swd088","262","Sleepy Shellsword I"
"08200025","W_ShortSword_037","0820002D","S_Swd088","263","Sleepy Shellsword II"
"08200026","W_ShortSword_038","0820002D","S_Swd088","264","Waking Nightmare"
"08200027","W_ShortSword_039","0820000B","S_Swd051","189","Izuchi Sickle I"
"08200028","W_ShortSword_040","0820000B","S_Swd051","190","Izuchi Sickle II"
"08200029","W_ShortSword_041","0820000B","S_Swd051","191","Snapper Sickle"
"0820002A","W_ShortSword_042","0820000C","S_Swd052","113","Cunning Riposte I"
"0820002B","W_ShortSword_043","0820000C","S_Swd052","114","Cunning Riposte II"
"0820002C","W_ShortSword_044","0820000C","S_Swd052","115","Guard Breaker"
"0820002D","W_ShortSword_045","0820000D","S_Swd053","32","Exorcising Sword I"
"0820002E","W_ShortSword_046","0820000D","S_Swd053","33","Exorcising Sword II"
"0820002F","W_ShortSword_047","0820000D","S_Swd053","34","Shaucha Pureblade"
"08200030","W_ShortSword_048","0820000E","S_Swd054","223","Sinister Sword I"
"08200031","W_ShortSword_049","0820000E","S_Swd054","224","Sinister Sword II"
"08200032","W_ShortSword_050","0820000E","S_Swd054","225","Sinister Shadekeeper"
"08200033","W_ShortSword_051","0820000F","S_Swd055","183","Mincing Blade I"
"08200034","W_ShortSword_052","0820000F","S_Swd055","184","Mincing Blade II"
"08200035","W_ShortSword_053","0820000F","S_Swd055","185","Chef's Knife"
"08200036","W_ShortSword_054","08200010","S_Swd056","241","Azure Elder Sword I"
"08200037","W_ShortSword_055","08200010","S_Swd056","242","Azure Elder Sword II"
"08200038","W_ShortSword_056","08200010","S_Swd056","243","Abyssal Gale Shredder"
"08200039","W_ShortSword_057","08200011","S_Swd057","245","Thunderbolt Sword I"
"0820003A","W_ShortSword_058","08200011","S_Swd057","246","Abyssal Storm Shredder"
"0820003B","W_ShortSword_059","0820002C","S_Swd087","256","Redwing Swiftblade I"
"0820003C","W_ShortSword_060","0820002C","S_Swd087","257","Vermilion Orgul"
"0820003D","W_ShortSword_061","08200017","S_Swd064","174","Brash Buddies I"
"0820003E","W_ShortSword_062","08200017","S_Swd064","175","Brash Buddies II"
"0820003F","W_ShortSword_063","08200017","S_Swd064","176","Cocky Comrades"
"08200040","W_ShortSword_064","08200018","S_Swd065","199","Secta Nulo I"
"08200041","W_ShortSword_065","08200018","S_Swd065","200","Secta Unu"
"08200042","W_ShortSword_066","0820001C","S_Swd069","218","Secta Nulo Red I"
"08200043","W_ShortSword_067","0820001C","S_Swd069","219","Secta Nulo Red II"
