"Weapon ID","Enum Name","Model ID","Model Name","Sort ID","Weapon Name"
"08600000","W_SlashAxe_000","08600010","S_Axe057","67","Elite Switch Axe I"
"08600001","W_SlashAxe_001","08600010","S_Axe057","68","Elite Switch Axe II"
"08600002","W_SlashAxe_002","08600010","S_Axe057","69","Czar Switch Axe"
"08600003","W_SlashAxe_003","08600011","S_Axe058","99","The Shredder I"
"08600004","W_SlashAxe_004","08600011","S_Axe058","100","The Shredder II"
"08600005","W_SlashAxe_005","08600011","S_Axe058","101","The Power Shredder"
"08600006","W_SlashAxe_006","08600012","S_Axe059","108","Ash Drache I"
"08600007","W_SlashAxe_007","08600012","S_Axe059","109","Ash Drache II"
"08600008","W_SlashAxe_008","08600012","S_Axe059","110","Fall Drache"
"08600009","W_SlashAxe_009","08600005","S_Axe017","64","Proto Iron Axe I"
"0860000A","W_SlashAxe_010","08600005","S_Axe017","65","Proto Iron Axe II"
"0860000B","W_SlashAxe_011","08600005","S_Axe017","66","Improved Steel Axe"
"0860000C","W_SlashAxe_012","08600013","S_Axe060","93","General's Strongaxe I"
"0860000D","W_SlashAxe_013","08600013","S_Axe060","94","General's Strongaxe II"
"0860000E","W_SlashAxe_014","08600013","S_Axe060","95","Conqueress"
"0860000F","W_SlashAxe_015","08600006","S_Axe019","142","Bone Axe I"
"08600010","W_SlashAxe_016","08600006","S_Axe019","143","Bone Axe II"
"08600011","W_SlashAxe_017","08600006","S_Axe019","144","Daidalos Axe"
"08600012","W_SlashAxe_018","08600014","S_Axe061","145","Power Gasher I"
"08600013","W_SlashAxe_019","08600014","S_Axe061","146","Power Gasher II"
"08600014","W_SlashAxe_020","08600014","S_Axe061","147","Maximal Gasher"
"08600015","W_SlashAxe_021","08600009","S_Axe050","6","Kamura Iron Axe I"
"08600016","W_SlashAxe_022","08600009","S_Axe050","7","Kamura Iron Axe II"
"08600017","W_SlashAxe_023","08600009","S_Axe050","8","Kamura Iron Axe III"
"08600018","W_SlashAxe_024","08600009","S_Axe050","9","Kamura Iron Axe IV"
"08600019","W_SlashAxe_025","08600009","S_Axe050","10","Kamura Iron Axe V"
"0860001A","W_SlashAxe_026","08600009","S_Axe050","11","Kamura Ninja Axe"
"0860001B","W_SlashAxe_027","0860002B","S_Axe087","285","Rampage Slicer I"
"0860001C","W_SlashAxe_028","0860002B","S_Axe087","286","Rampage Slicer II"
"0860001D","W_SlashAxe_029","0860002B","S_Axe087","287","Rampage Slicer III"
"0860001E","W_SlashAxe_030","0860002B","S_Axe087","290","Rampage Slicer S"
"0860001F","W_SlashAxe_031","0860002A","S_Axe086","262","Origami Axe I"
"08600020","W_SlashAxe_032","0860002A","S_Axe086","263","Origami Axe II"
"08600021","W_SlashAxe_033","0860002A","S_Axe086","264","Petal Cloud"
"08600022","W_SlashAxe_034","08600015","S_Axe062","267","Grim Cat I"
"08600023","W_SlashAxe_035","08600015","S_Axe062","268","Grim Cat II"
"08600024","W_SlashAxe_036","08600015","S_Axe062","269","Grimmige Katze"
"08600025","W_SlashAxe_037","08600016","S_Axe063","272","Infernal Axe I"
"08600026","W_SlashAxe_038","08600016","S_Axe063","273","Infernal Axe II"
"08600027","W_SlashAxe_039","08600016","S_Axe063","274","Hellish Edge"
"08600028","W_SlashAxe_040","08600029","S_Axe085","277","Sleepy Shellslice I"
"08600029","W_SlashAxe_041","08600029","S_Axe085","278","Sleepy Shellslice II"
"0860002A","W_SlashAxe_042","08600029","S_Axe085","279","Schale Batis"
"0860002B","W_SlashAxe_043","0860000A","S_Axe051","123","Axenosom I"
"0860002C","W_SlashAxe_044","0860000A","S_Axe051","124","Axenosom II"
"0860002D","W_SlashAxe_045","0860000A","S_Axe051","125","Axenosom III"
"0860002E","W_SlashAxe_046","0860000A","S_Axe051","126","Daybreak Silvaris"
"0860002F","W_SlashAxe_047","0860000B","S_Axe052","32","Wheel Axe I"
"08600030","W_SlashAxe_048","0860000B","S_Axe052","33","Wheel Axe II"
"08600031","W_SlashAxe_049","0860000B","S_Axe052","34","Axe of Wisdom"
"08600032","W_SlashAxe_050","0860000C","S_Axe053","214","Sinister Axe I"
"08600033","W_SlashAxe_051","0860000C","S_Axe053","215","Sinister Axe II"
"08600034","W_SlashAxe_052","0860000C","S_Axe053","216","Sinister Shadowslice"
"08600035","W_SlashAxe_053","0860000D","S_Axe054","114","Almudron Axe I"
"08600036","W_SlashAxe_054","0860000D","S_Axe054","115","Almudron Axe II"
"08600037","W_SlashAxe_055","0860000D","S_Axe054","116","Doom Bringer Axe"
"08600038","W_SlashAxe_056","0860000E","S_Axe055","232","Azure Elder Axe I"
"08600039","W_SlashAxe_057","0860000E","S_Axe055","233","Azure Elder Axe II"
"0860003A","W_SlashAxe_058","0860000E","S_Axe055","234","Abyssal Gale Axe"
"0860003B","W_SlashAxe_059","0860000F","S_Axe056","236","Thunderbolt Axe I"
"0860003C","W_SlashAxe_060","0860000F","S_Axe056","237","Abyssal Storm Axe"
"0860003D","W_SlashAxe_061","08600028","S_Axe084","256","Redwing Switch Axe I"
"0860003E","W_SlashAxe_062","08600028","S_Axe084","257","Reddnaught Dunat"
"0860003F","W_SlashAxe_063","08600017","S_Axe064","52","Arzuros Axe I"
"08600040","W_SlashAxe_064","08600017","S_Axe064","53","Arzuros Axe II"
"08600041","W_SlashAxe_065","08600017","S_Axe064","54","Arzuros Revelax"
"08600042","W_SlashAxe_066","08600018","S_Axe065","136","Snowfall Axe I"
"08600043","W_SlashAxe_067","08600018","S_Axe065","137","Snowfall Axe II"
"08600044","W_SlashAxe_068","08600018","S_Axe065","138","Snowfall Axe III"
"08600045","W_SlashAxe_069","08600018","S_Axe065","139","Dewdrop Dream"
"08600046","W_SlashAxe_070","08600019","S_Axe066","208","Longear Axe I"
"08600047","W_SlashAxe_071","08600019","S_Axe066","209","Longear Axe II"
"08600048","W_SlashAxe_072","08600019","S_Axe066","210","Longear Axe III"
"08600049","W_SlashAxe_073","08600019","S_Axe066","211","Longear Weiss"
"0860004A","W_SlashAxe_074","0860001A","S_Axe067","41","Delex Sail I"
"0860004B","W_SlashAxe_075","0860001A","S_Axe067","42","Delex Sail II"
"0860004C","W_SlashAxe_076","0860001A","S_Axe067","43","Delex Cleaver"
"0860004D","W_SlashAxe_077","0860001B","S_Axe068","194","Ludroth Axe I"
"0860004E","W_SlashAxe_078","0860001B","S_Axe068","195","Ludroth Axe II"
"0860004F","W_SlashAxe_079","0860001B","S_Axe068","196","Splish Splax"
"08600050","W_SlashAxe_080","0860001C","S_Axe069","130","Assault Axe I"
"08600051","W_SlashAxe_081","0860001C","S_Axe069","131","Assault Axe II"
"08600052","W_SlashAxe_082","0860001C","S_Axe069","132","Blitzkrieg"
"08600053","W_SlashAxe_083","0860001D","S_Axe070","46","Khezu Axe I"
"08600054","W_SlashAxe_084","0860001D","S_Axe070","47","Khezu Axe II"
"08600055","W_SlashAxe_085","0860001D","S_Axe070","48","Khezu Cleaver"
"08600056","W_SlashAxe_086","0860001E","S_Axe071","175","Venom Hatchet I"
"08600057","W_SlashAxe_087","0860001E","S_Axe071","176","Venom Hatchet II"
"08600058","W_SlashAxe_088","0860001E","S_Axe071","177","Mortal Serpent"
"08600059","W_SlashAxe_089","0860001F","S_Axe072","187","Binding Roller I"
"0860005A","W_SlashAxe_090","0860001F","S_Axe072","188","Binding Roller II"
"0860005B","W_SlashAxe_091","0860001F","S_Axe072","189","Binding Roller III"
"0860005C","W_SlashAxe_092","0860001F","S_Axe072","190","Vermilingua"
"0860005D","W_SlashAxe_093","08600007","S_Axe027","76","Limus Os I"
"0860005E","W_SlashAxe_094","08600007","S_Axe027","77","Limus Os II"
"0860005F","W_SlashAxe_095","08600007","S_Axe027","78","Luto Ascia"
"08600060","W_SlashAxe_096","08600020","S_Axe073","82","Dragonmaiden Axe I"
"08600061","W_SlashAxe_097","08600020","S_Axe073","83","Dragonmaiden Axe II"
"08600062","W_SlashAxe_098","08600020","S_Axe073","84","Gríðr's Landmaker"
"08600063","W_SlashAxe_099","08600003","S_Axe012","57","Amber Slash I"
"08600064","W_SlashAxe_100","08600003","S_Axe012","58","Amber Slash II"
"08600065","W_SlashAxe_101","08600003","S_Axe012","59","Amber Slash III"
"08600066","W_SlashAxe_102","08600003","S_Axe012","60","Amber Hoarfrost"
"08600067","W_SlashAxe_103","08600002","S_Axe005","157","Flammenbeil I"
"08600068","W_SlashAxe_104","08600002","S_Axe005","158","Flammenbeil II"
"08600069","W_SlashAxe_105","08600002","S_Axe005","159","Gnashing Flammenbeil"
"0860006A","W_SlashAxe_106","08600004","S_Axe013","180","Hidden Axe I"
"0860006B","W_SlashAxe_107","08600004","S_Axe013","181","Hidden Axe II"
"0860006C","W_SlashAxe_108","08600004","S_Axe013","182","Night's Crescent"
"0860006D","W_SlashAxe_109","08600021","S_Axe076","18","Fond Farewell I"
"0860006E","W_SlashAxe_110","08600021","S_Axe076","19","Fond Farewell II"
"0860006F","W_SlashAxe_111","08600021","S_Axe076","20","Parting Slice"
"08600070","W_SlashAxe_112","08600022","S_Axe077","25","Rath Flamesplitter I"
"08600071","W_SlashAxe_113","08600022","S_Axe077","26","Rath Flamesplitter II"
"08600072","W_SlashAxe_114","08600022","S_Axe077","27","Rath Flamesplitter III"
"08600073","W_SlashAxe_115","08600022","S_Axe077","28","Rath Blaze Splitter"
"08600074","W_SlashAxe_116","08600023","S_Axe078","203","Usurper's Downpour I"
"08600075","W_SlashAxe_117","08600023","S_Axe078","204","Usurper's Downpour II"
"08600076","W_SlashAxe_118","08600023","S_Axe078","205","Despot's Cloudburst"
"08600077","W_SlashAxe_119","08600024","S_Axe079","163","Rex Slasher I"
"08600078","W_SlashAxe_120","08600024","S_Axe079","164","Rex Slasher II"
"08600079","W_SlashAxe_121","08600024","S_Axe079","165","Rex Gnasher"
"0860007A","W_SlashAxe_122","08600001","S_Axe003","169","Axe Semper Tyrannis I"
"0860007B","W_SlashAxe_123","08600001","S_Axe003","170","Axe Semper Tyrannis II"
"0860007C","W_SlashAxe_124","08600001","S_Axe003","171","Grand Chaos"
"0860007D","W_SlashAxe_125","08600025","S_Axe080","244","Daora's Farasa I"
"0860007E","W_SlashAxe_126","08600025","S_Axe080","245","Daora's Janah"
"0860007F","W_SlashAxe_127","08600000","S_Axe001","248","Teostra's Arx I"
"08600080","W_SlashAxe_128","08600000","S_Axe001","249","Teostra's Castle"
"08600081","W_SlashAxe_129","08600026","S_Axe081","252","Waxglare Wand I"
"08600082","W_SlashAxe_130","08600026","S_Axe081","253","Balor's Mirage"
"08600083","W_SlashAxe_131","08600027","S_Axe082","226","Undying Axe I"
"08600084","W_SlashAxe_132","08600027","S_Axe082","227","Undying Axe II"
"08600085","W_SlashAxe_133","08600027","S_Axe082","228","Undying Light"
"08600086","W_SlashAxe_134","08600008","S_Axe037","239","Rookslayer Axe I"
"08600087","W_SlashAxe_135","08600008","S_Axe037","240","Rookslayer Axe II"
"08600088","W_SlashAxe_136","08600008","S_Axe037","241","Bazelrush Rookslayer"
"08600089","W_SlashAxe_137","0860002B","S_Axe087","288","Rampage Slicer IV"
"0860008A","W_SlashAxe_138","0860002B","S_Axe087","289","Rampage Slicer V"
"0860008B","W_SlashAxe_139","0860002C","S_Axe088","1","Defender Switch Axe I"
"0860008C","W_SlashAxe_140","0860002C","S_Axe088","2","Champion Switch Axe"
"0860012C","W_SlashAxe_300","0860002D","S_Axe100","12","Kamura Warrior Battleaxe"
"0860012D","W_SlashAxe_301","0860002D","S_Axe100","13","Kamura Warrior Battleaxe+"
"0860012E","W_SlashAxe_302","0860002D","S_Axe100","14","Fine Kamura Battleaxe"
"0860012F","W_SlashAxe_303","0860003C","S_Axe115","15","Duke's Axe"
"08600130","W_SlashAxe_304","0860003C","S_Axe115","16","Fracturing Falter"
"08600131","W_SlashAxe_305","08600021","S_Axe076","21","Parting Slice+"
"08600132","W_SlashAxe_306","08600021","S_Axe076","22","Leave-Taker"
"08600133","W_SlashAxe_307","08600021","S_Axe076","23","Leave-Taker+"
"08600134","W_SlashAxe_308","08600037","S_Axe110","24","Pure Switch Axe Mikado"
"08600135","W_SlashAxe_309","08600022","S_Axe077","29","Rath Blaze Splitter+"
"08600136","W_SlashAxe_310","08600022","S_Axe077","30","High Rubillion"
"08600137","W_SlashAxe_311","0860000B","S_Axe052","35","Axe of Righteousness"
"08600138","W_SlashAxe_312","0860000B","S_Axe052","36","Axe of Righteousness+"
"08600139","W_SlashAxe_313","0860000B","S_Axe052","37","Battleaxe of Kings"
"0860013A","W_SlashAxe_314","08600039","S_Axe112","38","Axe of Glory"
"0860013B","W_SlashAxe_315","08600039","S_Axe112","39","Axe of Glory+"
"0860013C","W_SlashAxe_316","08600039","S_Axe112","40","Axe of Virtue"
"0860013D","W_SlashAxe_317","0860001A","S_Axe067","44","Delex Cleaver+"
"0860013E","W_SlashAxe_318","0860001A","S_Axe067","45","Delex Hatchet"
"0860013F","W_SlashAxe_319","0860001D","S_Axe070","49","Khezu Cleaver+"
"08600140","W_SlashAxe_320","0860001D","S_Axe070","50","Fullmark"
"08600141","W_SlashAxe_321","0860001D","S_Axe070","51","Fullmark+"
"08600142","W_SlashAxe_322","08600017","S_Axe064","55","Arzuros Revelax+"
"08600143","W_SlashAxe_323","08600017","S_Axe064","56","Arzuros Jubilax"
"08600144","W_SlashAxe_324","08600003","S_Axe012","61","Amber Snapfrost"
"08600145","W_SlashAxe_325","08600003","S_Axe012","62","Amber Snapfrost+"
"08600146","W_SlashAxe_326","08600003","S_Axe012","63","Amber Permafrost"
"08600147","W_SlashAxe_327","08600010","S_Axe057","70","Czar Switch Axe II"
"08600148","W_SlashAxe_328","08600010","S_Axe057","71","Czar Switch Axe III"
"08600149","W_SlashAxe_329","08600010","S_Axe057","72","Valor Switch Axe"
"0860014A","W_SlashAxe_330","0860003D","S_Axe116","73","Frostmoon Eclipser"
"0860014B","W_SlashAxe_331","0860003D","S_Axe116","74","Frostmoon Eclipser+"
"0860014C","W_SlashAxe_332","0860003D","S_Axe116","75","Purnima Icechopper"
"0860014D","W_SlashAxe_333","08600007","S_Axe027","79","Luto Ascia+"
"0860014E","W_SlashAxe_334","08600007","S_Axe027","80","Valtos Claw"
"0860014F","W_SlashAxe_335","08600007","S_Axe027","81","Valtos Claw+"
"08600150","W_SlashAxe_336","08600020","S_Axe073","85","Gríðr's Landmaker+"
"08600151","W_SlashAxe_337","08600020","S_Axe073","86","Gríðr's Landforger"
"08600152","W_SlashAxe_338","08600020","S_Axe073","87","Gríðr's Landforger+"
"08600153","W_SlashAxe_339","08600040","S_Axe119","89","Rosenacanta"
"08600154","W_SlashAxe_340","08600040","S_Axe119","90","Rosenacanta+"
"08600155","W_SlashAxe_341","08600040","S_Axe119","91","Rosenprion"
"08600156","W_SlashAxe_342","08600013","S_Axe060","96","Conqueress II"
"08600157","W_SlashAxe_343","08600013","S_Axe060","97","Conqueress III"
"08600158","W_SlashAxe_344","08600013","S_Axe060","98","Reconqueress"
"08600159","W_SlashAxe_345","08600011","S_Axe058","102","The Power Shredder+"
"0860015A","W_SlashAxe_346","08600011","S_Axe058","103","The Lightning Shredder"
"0860015B","W_SlashAxe_347","08600011","S_Axe058","104","The Lightning Shredder+"
"0860015C","W_SlashAxe_348","08600036","S_Axe109","105","High Raijard"
"0860015D","W_SlashAxe_349","08600036","S_Axe109","106","High Raijard+"
"0860015E","W_SlashAxe_350","08600036","S_Axe109","107","Voltaic Load"
"0860015F","W_SlashAxe_351","08600012","S_Axe059","111","Fall Drache+"
"08600160","W_SlashAxe_352","08600012","S_Axe059","112","Revived Drache"
"08600161","W_SlashAxe_353","08600012","S_Axe059","113","Revived Drache+"
"08600162","W_SlashAxe_354","0860000D","S_Axe054","117","Night Bringer Axe"
"08600163","W_SlashAxe_355","0860000D","S_Axe054","118","Night Bringer Axe+"
"08600164","W_SlashAxe_356","0860000D","S_Axe054","119","Void Bringer Axe"
"08600165","W_SlashAxe_357","0860003A","S_Axe113","120","Magma Switch"
"08600166","W_SlashAxe_358","0860003A","S_Axe113","122","Volcanic Switch"
"08600167","W_SlashAxe_359","0860000A","S_Axe051","127","Lunadawn Sirja"
"08600168","W_SlashAxe_360","0860000A","S_Axe051","128","Lunadawn Sirja+"
"08600169","W_SlashAxe_361","0860000A","S_Axe051","129","Dawnbreaker Simorgh"
"0860016A","W_SlashAxe_362","0860001C","S_Axe069","133","Battlebuster"
"0860016B","W_SlashAxe_363","0860001C","S_Axe069","134","Battlebuster+"
"0860016C","W_SlashAxe_364","0860001C","S_Axe069","135","Bastion Blitz"
"0860016D","W_SlashAxe_365","08600018","S_Axe065","140","Dewdrop Dream+"
"0860016F","W_SlashAxe_367","08600018","S_Axe065","141","Spirit Perplaxer"
"08600170","W_SlashAxe_368","08600014","S_Axe061","148","Maximal Gasher+"
"08600171","W_SlashAxe_369","08600014","S_Axe061","149","Powerhouse Gasher"
"08600172","W_SlashAxe_370","08600014","S_Axe061","150","Powerhouse Gasher+"
"08600173","W_SlashAxe_371","08600035","S_Axe108","151","Aksa Switch"
"08600174","W_SlashAxe_372","08600035","S_Axe108","152","Aksa Switch+"
"08600175","W_SlashAxe_373","08600035","S_Axe108","153","Baran Defiance"
"08600176","W_SlashAxe_374","08600030","S_Axe103","154","Scissor Axe"
"08600177","W_SlashAxe_375","08600030","S_Axe103","155","Scissor Axe+"
"08600178","W_SlashAxe_376","08600030","S_Axe103","156","Megatalon Shears"
"08600179","W_SlashAxe_377","08600002","S_Axe005","160","Gnashing Flammenbeil+"
"0860017A","W_SlashAxe_378","08600002","S_Axe005","161","Lohenbeil"
"0860017B","W_SlashAxe_379","08600002","S_Axe005","162","Lohenbeil+"
"0860017C","W_SlashAxe_380","08600024","S_Axe079","166","Rex Gnasher+"
"0860017D","W_SlashAxe_381","08600024","S_Axe079","167","Rex Thrasher"
"0860017E","W_SlashAxe_382","08600024","S_Axe079","168","Rex Thrasher+"
"0860017F","W_SlashAxe_383","08600001","S_Axe003","172","Grand Chaos+"
"08600180","W_SlashAxe_384","08600001","S_Axe003","173","Axe of Gaia"
"08600181","W_SlashAxe_385","0860001E","S_Axe071","178","Mortal Serpent+"
"08600182","W_SlashAxe_386","0860001E","S_Axe071","179","Thanatos Serpent"
"08600183","W_SlashAxe_387","08600004","S_Axe013","183","Crescent Moon"
"08600184","W_SlashAxe_388","08600004","S_Axe013","184","Crescent Moon+"
"08600185","W_SlashAxe_389","08600004","S_Axe013","185","Avidya Axe"
"08600186","W_SlashAxe_390","0860001F","S_Axe072","191","Vermilingua+"
"08600187","W_SlashAxe_391","0860001F","S_Axe072","192","Vermilion Bloodaxe"
"08600188","W_SlashAxe_392","0860001F","S_Axe072","193","Vermilion Bloodaxe+"
"08600189","W_SlashAxe_393","0860001B","S_Axe068","197","Splish Splax+"
"0860018A","W_SlashAxe_394","0860001B","S_Axe068","198","Ludroth Drencher"
"0860018B","W_SlashAxe_395","0860001B","S_Axe068","199","Ludroth Drencher+"
"0860018C","W_SlashAxe_396","0860003E","S_Axe117","200","Golm Axe"
"0860018D","W_SlashAxe_397","0860003E","S_Axe117","201","Golm Axe+"
"0860018E","W_SlashAxe_398","0860003E","S_Axe117","202","Great Gorgon Battleaxe"
"0860018F","W_SlashAxe_399","08600023","S_Axe078","206","Despot's Cloudburst+"
"08600190","W_SlashAxe_400","08600023","S_Axe078","207","Oppressor's Torrent"
"08600191","W_SlashAxe_401","08600019","S_Axe066","212","Longear Weiss+"
"08600192","W_SlashAxe_402","08600019","S_Axe066","213","Splitear Weiss"
"08600193","W_SlashAxe_403","0860000C","S_Axe053","217","Sinister Shadowslice+"
"08600194","W_SlashAxe_404","0860000C","S_Axe053","218","Tormented Shadowslice"
"08600195","W_SlashAxe_405","08600038","S_Axe111","219","Vengeful Fellcleave"
"08600196","W_SlashAxe_406","08600027","S_Axe082","229","Undying Light+"
"08600197","W_SlashAxe_407","08600027","S_Axe082","230","Undying Purity"
"08600198","W_SlashAxe_408","0860000E","S_Axe055","235","Skyfall"
"0860019A","W_SlashAxe_410","08600008","S_Axe037","242","Bazelava Rookslayer"
