,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,LONG_SWORD,LongSword_000,Hope Blade I,A great sword made specificallyfor the expedition. Its largeblade can clear the area inone sweep.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],"[60, 60, 50, 30, 0, 0, 0]","[50, 0, 0, 0]",4,0
3,1,LONG_SWORD,LongSword_001,Hope Blade II,A great sword made specificallyfor the expedition. Its largeblade can clear the area inone sweep.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],"[50, 50, 60, 40, 0, 0, 0]","[50, 0, 0, 0]",4,0
4,2,LONG_SWORD,LongSword_002,Hope Blade III,A great sword made specificallyfor the expedition. Its largeblade can clear the area inone sweep.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']","[50, 60, 80, 60, 0, 0, 0]","[50, 0, 0, 0]",4,0
5,3,LONG_SWORD,LongSword_003,Hope Blade IV,A great sword made specificallyfor the expedition. Its largeblade can clear the area inone sweep.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 90, 70, 30, 0, 0]","[50, 0, 0, 0]",4,0
6,4,LONG_SWORD,LongSword_004,Hope Blade V,A great sword made specificallyfor the expedition. Its largeblade can clear the area inone sweep.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 80, 70, 60, 30, 0]","[50, 0, 0, 0]",4,0
7,51,LONG_SWORD,LongSword_008,Valkyrie Blade I,"A great sword made of bone andfortified with Rathianmaterials, giving it a regal,dignified air.",60,5000,5,160,0,15,POISON,21,NONE,0,"[2, 1, 0]","['Critical Status: 2', 'Poison Duration Up: 1']","[50, 70, 40, 120, 20, 0, 0]","[50, 0, 0, 0]",5,0
8,52,LONG_SWORD,LongSword_009,Valkyrie Blade II,"A great sword made of bone andfortified with Rathianmaterials, giving it a regal,dignified air.",61,14000,7,190,0,15,POISON,27,NONE,0,"[3, 2, 0]","['Critical Status: 3', 'Poison Duration Up: 1']","[40, 80, 40, 120, 50, 20, 0]","[50, 0, 0, 0]",5,0
9,53,LONG_SWORD,LongSword_010,Sieglinde,"An upgraded Valkyrie Blade.Named for a ravishing queen,its sweet poison ends thelife of prey.",62,20000,8,210,0,15,POISON,30,NONE,0,"[3, 2, 1]","['Critical Status: 3', 'Poison Duration Up: 1']","[40, 80, 30, 120, 40, 40, 0]","[50, 0, 0, 0]",5,0
10,45,LONG_SWORD,LongSword_013,Chicken Decapitator I,A splendid great sword thatlooks like a Yian Kut-Ku's wing.Elaborate work went into theblade.,52,4000,5,180,0,0,FIRE,45,NONE,0,"[2, 1, 0]","['Focus: 1', 'Charge Master: 1']","[100, 100, 70, 30, 0, 0, 0]","[20, 30, 0, 0]",12,0
11,46,LONG_SWORD,LongSword_014,Chicken Decapitator II,A splendid great sword thatlooks like a Yian Kut-Ku's wing.Elaborate work went into theblade.,53,14000,7,210,0,0,FIRE,55,NONE,0,"[2, 1, 0]","['Focus: 2', 'Charge Master: 2']","[100, 120, 50, 70, 10, 0, 0]","[20, 30, 0, 0]",12,0
12,47,LONG_SWORD,LongSword_015,Rooster Decapitator,An upgraded Chicken Decapitator.The blade's stunning manufactureis rightly considered a work ofart.,54,20000,8,220,0,0,FIRE,60,NONE,0,"[3, 2, 1]","['Focus: 2', 'Charge Master: 2']","[110, 120, 20, 80, 20, 0, 0]","[10, 40, 0, 0]",12,0
13,39,LONG_SWORD,LongSword_018,Nihil Great Sword I,"A fearsome, freakish Xu Wu greatsword with eerie patterns thatwarp one's perception of space.",37,2600,4,160,0,0,WATER,20,NONE,0,"[1, 0, 0]",['Critical Draw: 2'],"[20, 110, 70, 50, 0, 0, 0]","[50, 0, 0, 0]",20,0
14,40,LONG_SWORD,LongSword_019,Nihil Great Sword II,"A fearsome, freakish Xu Wu greatsword with eerie patterns thatwarp one's perception of space.",38,10000,6,190,0,0,WATER,26,NONE,0,"[2, 1, 1]",['Critical Draw: 2'],"[20, 110, 70, 70, 30, 0, 0]","[50, 0, 0, 0]",20,0
15,41,LONG_SWORD,LongSword_020,Prinvrilo's Dissolution,An upgraded Nihil Great Sword.Irregular jags along bothedges leave flesh horrificallyscarred.,39,20000,8,220,0,0,WATER,30,NONE,0,"[3, 2, 1]",['Critical Draw: 3'],"[20, 110, 50, 50, 70, 50, 0]","[50, 0, 0, 0]",20,0
16,15,LONG_SWORD,LongSword_023,Quematrice Espada I,A Quematrice great sworddesigned to ignite with a simplesqueeze of the grip.,15,500,1,100,0,5,FIRE,14,NONE,0,"[0, 0, 0]",['Punishing Draw: 1'],"[50, 70, 70, 10, 0, 0, 0]","[50, 0, 0, 0]",6,0
17,16,LONG_SWORD,LongSword_024,Quematrice Espada II,A Quematrice great sworddesigned to ignite with a simplesqueeze of the grip.,16,1500,3,140,0,5,FIRE,18,NONE,0,"[0, 0, 0]",['Punishing Draw: 2'],"[50, 80, 80, 40, 0, 0, 0]","[50, 0, 0, 0]",6,0
18,17,LONG_SWORD,LongSword_025,Quematrice Espada III,A Quematrice great sworddesigned to ignite with a simplesqueeze of the grip.,17,4000,5,170,0,5,FIRE,23,NONE,0,"[2, 1, 0]",['Punishing Draw: 2'],"[70, 80, 80, 60, 10, 0, 0]","[50, 0, 0, 0]",6,0
