,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,SHORT_SWORD,ShortSword_000,Hope Sword I,A sword & shield made specificallyfor the expedition. Allows a hunterto unleash attacks without pause.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],"[50, 50, 40, 60, 0, 0, 0]","[50, 0, 0, 0]",7,0
3,1,SHORT_SWORD,ShortSword_001,Hope Sword II,A sword & shield made specificallyfor the expedition. Allows a hunterto unleash attacks without pause.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],"[40, 50, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",7,0
4,2,SHORT_SWORD,ShortSword_002,Hope Sword III,A sword & shield made specificallyfor the expedition. Allows a hunterto unleash attacks without pause.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']","[50, 60, 50, 90, 0, 0, 0]","[50, 0, 0, 0]",7,0
5,3,SHORT_SWORD,ShortSword_003,Hope Sword IV,A sword & shield made specificallyfor the expedition. Allows a hunterto unleash attacks without pause.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 60, 70, 60, 0, 0]","[50, 0, 0, 0]",7,0
6,4,SHORT_SWORD,ShortSword_004,Hope Sword V,A sword & shield made specificallyfor the expedition. Allows a hunterto unleash attacks without pause.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 50, 70, 60, 60, 0]","[50, 0, 0, 0]",7,0
7,35,SHORT_SWORD,ShortSword_008,Rey Kuara I,A sword & shield imbued withRey Dau's thunder that disintegratesmatter with each galvanic swing.,20,2000,3,140,0,0,ELEC,12,NONE,0,"[0, 0, 0]","['Guard: 1', 'Offensive Guard: 1']","[10, 10, 140, 90, 0, 0, 0]","[50, 0, 0, 0]",10,0
8,36,SHORT_SWORD,ShortSword_009,Rey Kuara II,A sword & shield imbued withRey Dau's thunder that disintegratesmatter with each galvanic swing.,21,4000,5,170,0,0,ELEC,15,NONE,0,"[2, 1, 0]","['Guard: 1', 'Offensive Guard: 1']","[10, 10, 120, 100, 60, 0, 0]","[50, 0, 0, 0]",10,0
9,37,SHORT_SWORD,ShortSword_010,Rey Kuara III,A sword & shield imbued with ReyDau's thunder that disintegratesmatter with each galvanic swing.,22,14000,7,200,0,0,ELEC,17,NONE,0,"[3, 2, 0]","['Guard: 2', 'Offensive Guard: 1']","[10, 10, 110, 80, 80, 60, 0]","[50, 0, 0, 0]",10,0
10,38,SHORT_SWORD,ShortSword_011,Kuara Clairsword,"An upgraded Rey Kuara. With eachflash of the blade, it announcesitself in a scream of lightning.",23,20000,8,220,0,0,ELEC,20,NONE,0,"[3, 2, 1]","['Guard: 2', 'Offensive Guard: 1']","[10, 10, 100, 70, 70, 90, 0]","[50, 0, 0, 0]",10,0
11,71,SHORT_SWORD,ShortSword_021,Sucher-Ankh I,An ebon Gore Magala sword& shield. Gazing into itsopen eye is to glimpse themaw of the netherworld.,69,14000,7,180,0,20,DRAGON,16,NONE,0,"[3, 2, 0]",['Critical Element: 3'],"[50, 80, 80, 60, 30, 50, 0]","[50, 0, 0, 0]",13,0
