,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,TWIN_SWORD,TwinSword_000,Hope Daggers I,Dual blades made specifically forthe expedition. Allows a hunterto unleash the power of a demon.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],"[50, 40, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",28,0
3,1,TWIN_SWORD,TwinSword_001,Hope Daggers II,Dual blades made specifically forthe expedition. Allows a hunterto unleash the power of a demon.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],"[40, 40, 40, 80, 0, 0, 0]","[50, 0, 0, 0]",28,0
4,2,TWIN_SWORD,TwinSword_002,Hope Daggers III,Dual blades made specifically forthe expedition. Allows a hunterto unleash the power of a demon.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']","[50, 60, 40, 100, 0, 0, 0]","[50, 0, 0, 0]",28,0
5,3,TWIN_SWORD,TwinSword_003,Hope Daggers IV,Dual blades made specifically forthe expedition. Allows a hunterto unleash the power of a demon.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 50, 70, 70, 0, 0]","[50, 0, 0, 0]",28,0
6,4,TWIN_SWORD,TwinSword_004,Hope Daggers V,Dual blades made specifically forthe expedition. Allows a hunterto unleash the power of a demon.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 40, 70, 60, 70, 0]","[50, 0, 0, 0]",28,0
7,6,TWIN_SWORD,TwinSword_005,Bone Hatchets I,Sturdy dual blades for beginners.They remain rough-hewn to besttake advantage of the materials.,26,500,1,110,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Focus: 1'],"[50, 60, 90, 0, 0, 0, 0]","[40, 10, 0, 0]",10004,0
8,7,TWIN_SWORD,TwinSword_006,Bone Hatchets II,Sturdy dual blades for beginners.They remain rough-hewn to besttake advantage of the materials.,27,800,2,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Focus: 1', 'Attack Boost: 1']","[50, 30, 120, 0, 0, 0, 0]","[20, 30, 0, 0]",10004,0
9,8,TWIN_SWORD,TwinSword_007,Bone Hatchets III,Sturdy dual blades for beginners.They remain rough-hewn to besttake advantage of the materials.,28,2600,4,170,0,0,NONE,0,NONE,0,"[1, 0, 0]","['Focus: 2', 'Attack Boost: 1']","[50, 50, 100, 50, 0, 0, 0]","[50, 0, 0, 0]",10004,0
10,9,TWIN_SWORD,TwinSword_008,Bone Hatchets IV,Sturdy dual blades for beginners.They remain rough-hewn to besttake advantage of the materials.,29,10000,6,200,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Focus: 3', 'Attack Boost: 1']","[50, 50, 80, 120, 0, 0, 0]","[50, 0, 0, 0]",10004,0
11,10,TWIN_SWORD,TwinSword_009,Wild Hatchets,"No less crude but far moresavage, these Bone Hatchetshave been reinforced formaximum devastation.",30,20000,8,230,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Focus: 3', 'Attack Boost: 1']","[50, 50, 60, 70, 120, 0, 0]","[50, 0, 0, 0]",10004,0
12,11,TWIN_SWORD,TwinSword_010,Dual Hatchets I,Dual blades designed to minceprey. As someone wise once said:Why fight with one axe if you'vegot two hands?,12,800,2,120,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Power Prolonger: 1'],"[10, 40, 90, 60, 0, 0, 0]","[50, 0, 0, 0]",10001,0
13,12,TWIN_SWORD,TwinSword_011,Dual Hatchets II,Dual blades designed to minceprey. As someone wise once said:Why fight with one axe if you'vegot two hands?,13,2600,4,160,0,0,NONE,0,NONE,0,"[1, 0, 0]",['Power Prolonger: 2'],"[10, 60, 90, 90, 0, 0, 0]","[50, 0, 0, 0]",10001,0
14,13,TWIN_SWORD,TwinSword_012,Dual Hatchets III,Dual blades designed to minceprey. As someone wise once said:Why fight with one axe if you'vegot two hands?,14,10000,6,190,0,0,NONE,0,NONE,0,"[2, 1, 0]",['Power Prolonger: 3'],"[10, 70, 90, 60, 70, 0, 0]","[50, 0, 0, 0]",10001,0
15,14,TWIN_SWORD,TwinSword_013,Dual Cleavers,"Now that these Dual Hatchets haveachieved cleaver status, they'repowerful enough to clear forests.",15,20000,8,220,0,0,NONE,0,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],"[10, 60, 90, 70, 50, 70, 0]","[50, 0, 0, 0]",10001,0
16,15,TWIN_SWORD,TwinSword_014,Quematrice Silexes I,Quematrice dual blades with anambitious design that ignites usingfriction to rip-'n'-roast quarry.,21,500,1,100,0,5,FIRE,7,NONE,0,"[0, 0, 0]",['Focus: 1'],"[50, 70, 30, 50, 0, 0, 0]","[50, 0, 0, 0]",3,0
17,16,TWIN_SWORD,TwinSword_015,Quematrice Silexes II,Quematrice dual blades with anambitious design that ignites usingfriction to rip-'n'-roast quarry.,22,1500,3,140,0,5,FIRE,9,NONE,0,"[0, 0, 0]",['Focus: 2'],"[50, 80, 40, 80, 0, 0, 0]","[50, 0, 0, 0]",3,0
18,17,TWIN_SWORD,TwinSword_016,Quematrice Silexes III,Quematrice dual blades with anambitious design that ignites usingfriction to rip-'n'-roast quarry.,23,4000,5,170,0,5,FIRE,11,NONE,0,"[2, 1, 0]",['Focus: 2'],"[70, 80, 60, 50, 40, 0, 0]","[50, 0, 0, 0]",3,0
19,18,TWIN_SWORD,TwinSword_017,Quematrice Silexes IV,Quematrice dual blades with anambitious design that ignites usingfriction to rip-'n'-roast quarry.,24,14000,7,210,0,5,FIRE,13,NONE,0,"[3, 2, 0]",['Focus: 3'],"[70, 80, 60, 80, 60, 0, 0]","[50, 0, 0, 0]",3,0
