,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,TACHI,Tachi_000,Hope Edge I,A long sword made specificallyfor the expedition. A bladeimbued with spirit to aid itsmighty swings.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],"[50, 60, 40, 50, 0, 0, 0]","[50, 0, 0, 0]",3,0
3,1,TACHI,Tachi_001,Hope Edge II,A long sword made specificallyfor the expedition. A bladeimbued with spirit to aid itsmighty swings.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],"[40, 50, 50, 60, 0, 0, 0]","[50, 0, 0, 0]",3,0
4,2,TACHI,Tachi_002,Hope Edge III,A long sword made specificallyfor the expedition. A bladeimbued with spirit to aid itsmighty swings.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']","[50, 60, 60, 80, 0, 0, 0]","[50, 0, 0, 0]",3,0
5,3,TACHI,Tachi_003,Hope Edge IV,A long sword made specificallyfor the expedition. A bladeimbued with spirit to aid itsmighty swings.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 70, 70, 50, 0, 0]","[50, 0, 0, 0]",3,0
6,4,TACHI,Tachi_004,Hope Edge V,A long sword made specificallyfor the expedition. A bladeimbued with spirit to aid itsmighty swings.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 60, 80, 50, 50, 0]","[50, 0, 0, 0]",3,0
7,37,TACHI,Tachi_008,Rey Tonitrus I,A long sword imbued with ReyDau's thunder. Adversariesbuckle with one kiss from itsconductive edge.,26,2000,3,140,0,0,ELEC,15,NONE,0,"[0, 0, 0]","['Focus: 1', 'Punishing Draw: 1']","[10, 10, 150, 80, 0, 0, 0]","[50, 0, 0, 0]",10,0
8,38,TACHI,Tachi_009,Rey Tonitrus II,A long sword imbued with ReyDau's thunder. Adversariesbuckle with one kiss from itsconductive edge.,27,4000,5,170,0,0,ELEC,19,NONE,0,"[2, 1, 0]","['Focus: 1', 'Punishing Draw: 1']","[10, 10, 130, 100, 50, 0, 0]","[50, 0, 0, 0]",10,0
9,39,TACHI,Tachi_010,Rey Tonitrus III,A long sword imbued with ReyDau's thunder. Adversariesbuckle with one kiss from itsconductive edge.,28,14000,7,200,0,0,ELEC,22,NONE,0,"[3, 2, 0]","['Focus: 2', 'Punishing Draw: 1']","[10, 10, 120, 80, 80, 50, 0]","[50, 0, 0, 0]",10,0
10,40,TACHI,Tachi_011,Tonitrus Clairblade,"An upgraded Rey Tonitrus.With one flash of its edge,rocks sunder and thick shocksof lightning hail down.",29,20000,8,220,0,0,ELEC,25,NONE,0,"[3, 2, 1]","['Focus: 2', 'Punishing Draw: 1']","[10, 10, 110, 70, 70, 80, 0]","[50, 0, 0, 0]",10,0
11,67,TACHI,Tachi_021,Stahlfakt I,An eldritch Gore Magala longsword that condemns wieldersto anguish and beholders toeternal damnation.,65,14000,7,180,0,20,DRAGON,27,NONE,0,"[3, 2, 0]",['Critical Element: 3'],"[50, 70, 80, 70, 40, 40, 0]","[50, 0, 0, 0]",13,0
12,68,TACHI,Tachi_022,Stahlrecht,"An upgraded Stahlfakt. Its biteconfers eternal pain, a hell thatforever denies the relief of death.",66,20000,8,210,0,20,DRAGON,30,NONE,0,"[3, 2, 1]",['Critical Element: 3'],"[50, 50, 80, 60, 40, 70, 0]","[50, 0, 0, 0]",13,0
13,29,TACHI,Tachi_026,Uth Khlunda I,An Uth Duna long sword.A water-soaked scabbard keepsthe thirsty blade sated andmaintains its gleam.,35,2000,3,160,0,-15,WATER,20,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],"[50, 70, 100, 30, 0, 0, 0]","[50, 0, 0, 0]",8,0
14,30,TACHI,Tachi_027,Uth Khlunda II,An Uth Duna long sword.A water-soaked scabbard keepsthe thirsty blade sated andmaintains its gleam.,36,4000,5,190,0,-15,WATER,26,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],"[60, 70, 120, 50, 0, 0, 0]","[50, 0, 0, 0]",8,0
15,31,TACHI,Tachi_028,Uth Khlunda III,An Uth Duna long sword.A water-soaked scabbard keepsthe thirsty blade sated andmaintains its gleam.,37,14000,7,220,0,-15,WATER,32,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],"[60, 70, 120, 80, 20, 0, 0]","[50, 0, 0, 0]",8,0
16,32,TACHI,Tachi_029,Khlunda-of-the-Waves,"An upgraded Uth Khlunda. Witha gallant blade like this,a worthy warrior could partthe raging tides.",38,20000,8,240,0,-15,WATER,35,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],"[60, 60, 100, 80, 50, 0, 0]","[10, 40, 0, 0]",8,0
17,45,TACHI,Tachi_034,Windclaw Blade I,"Made from Hirabami materials,this long sword's curved bladecarves a unique path whenslicing foes.",17,1500,3,140,0,0,ICE,18,NONE,0,"[0, 0, 0]","['Focus: 2', 'Airborne: 1']","[50, 60, 80, 60, 0, 0, 0]","[50, 0, 0, 0]",15,0
18,46,TACHI,Tachi_035,Windclaw Blade II,"Made from Hirabami materials,this long sword's curved bladecarves a unique path whenslicing foes.",18,5000,5,170,0,0,ICE,23,NONE,0,"[2, 1, 0]","['Focus: 2', 'Airborne: 1']","[50, 50, 70, 100, 30, 0, 0]","[50, 0, 0, 0]",15,0
19,47,TACHI,Tachi_036,Windclaw Blade III,"Made from Hirabami materials,this long sword's curved bladecarves a unique path whenslicing foes.",19,14000,7,200,0,0,ICE,27,NONE,0,"[3, 2, 0]","['Focus: 3', 'Airborne: 1']","[50, 50, 50, 30, 140, 30, 0]","[50, 0, 0, 0]",15,0
20,48,TACHI,Tachi_037,Windclaw Kiribami,An upgraded Windclaw Blade saidto have been wielded by a greathero. The force of its attacks issure to overwhelm any opponent.,20,20000,8,220,0,0,ICE,30,NONE,0,"[3, 2, 1]","['Focus: 3', 'Airborne: 1']","[50, 50, 50, 30, 120, 50, 0]","[50, 0, 0, 0]",15,0
21,15,TACHI,Tachi_042,Quematrice Lima I,A Quematrice long sword thatsprays oil from its scabbard onthe draw to ignite the blade.,21,500,1,100,0,5,FIRE,10,NONE,0,"[0, 0, 0]",['Punishing Draw: 1'],"[50, 70, 50, 30, 0, 0, 0]","[50, 0, 0, 0]",4,0
22,16,TACHI,Tachi_043,Quematrice Lima II,A Quematrice long sword thatsprays oil from its scabbard onthe draw to ignite the blade.,22,1500,3,140,0,5,FIRE,12,NONE,0,"[0, 0, 0]",['Punishing Draw: 2'],"[50, 80, 60, 60, 0, 0, 0]","[50, 0, 0, 0]",4,0
