,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,HAMMER,Hammer_000,Hope Hammer I,A hammer made specifically for theexpedition. Its weight on top ofphysical force can smash anything.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],"[50, 60, 50, 40, 0, 0, 0]","[50, 0, 0, 0]",2,0
3,1,HAMMER,Hammer_001,Hope Hammer II,A hammer made specifically for theexpedition. Its weight on top ofphysical force can smash anything.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],"[40, 50, 60, 50, 0, 0, 0]","[50, 0, 0, 0]",2,0
4,2,HAMMER,Hammer_002,Hope Hammer III,A hammer made specifically for theexpedition. Its weight on top ofphysical force can smash anything.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']","[50, 60, 70, 70, 0, 0, 0]","[50, 0, 0, 0]",2,0
5,3,HAMMER,Hammer_003,Hope Hammer IV,A hammer made specifically for theexpedition. Its weight on top ofphysical force can smash anything.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 80, 70, 40, 0, 0]","[50, 0, 0, 0]",2,0
6,4,HAMMER,Hammer_004,Hope Hammer V,A hammer made specifically for theexpedition. Its weight on top ofphysical force can smash anything.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']","[50, 60, 70, 80, 50, 40, 0]","[50, 0, 0, 0]",2,0
7,6,HAMMER,Hammer_005,Bone Bludgeon I,"A hammer that takes ""bare-bonesdesign"" literally. Sure, it's justa bone...but it's YOUR bone.",34,500,1,110,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Focus: 1'],"[50, 90, 60, 0, 0, 0, 0]","[40, 10, 0, 0]",10003,0
8,7,HAMMER,Hammer_006,Bone Bludgeon II,"A hammer that takes ""bare-bonesdesign"" literally. Sure, it's justa bone...but it's YOUR bone.",35,800,2,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Focus: 2', 'Attack Boost: 1']","[50, 60, 90, 0, 0, 0, 0]","[20, 30, 0, 0]",10003,0
9,8,HAMMER,Hammer_007,Bone Bludgeon III,"A hammer that takes ""bare-bonesdesign"" literally. Sure, it's justa bone...but it's YOUR bone.",36,2600,4,170,0,0,NONE,0,NONE,0,"[1, 0, 0]","['Focus: 2', 'Attack Boost: 1']","[50, 80, 100, 20, 0, 0, 0]","[50, 0, 0, 0]",10003,0
10,9,HAMMER,Hammer_008,Bone Bludgeon IV,"A hammer that takes ""bare-bonesdesign"" literally. Sure, it's justa bone...but it's YOUR bone.",37,10000,6,200,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Focus: 3', 'Attack Boost: 1']","[50, 80, 80, 90, 0, 0, 0]","[50, 0, 0, 0]",10003,0
11,10,HAMMER,Hammer_009,Heavy Bone Bludgeon,"Is it still just a bone? Yes.But as a hammer, this improvedBone Bludgeon has never hitharder.",38,20000,8,230,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Focus: 3', 'Attack Boost: 1']","[50, 70, 70, 70, 90, 0, 0]","[50, 0, 0, 0]",10003,0
12,11,HAMMER,Hammer_010,Iron Hammer I,"Long before hammers wentmainstream, there was a singleold hunter who swore by thisno-nonsense weapon.",9,800,2,120,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],"[40, 40, 90, 30, 0, 0, 0]","[50, 0, 0, 0]",10000,0
13,12,HAMMER,Hammer_011,Iron Hammer II,"Long before hammers wentmainstream, there was a singleold hunter who swore by thisno-nonsense weapon.",10,2600,4,160,0,0,NONE,0,NONE,0,"[1, 0, 0]",['Critical Draw: 2'],"[40, 60, 90, 60, 0, 0, 0]","[50, 0, 0, 0]",10000,0
14,13,HAMMER,Hammer_012,Iron Hammer III,"Long before hammers wentmainstream, there was a singleold hunter who swore by thisno-nonsense weapon.",11,10000,6,190,0,0,NONE,0,NONE,0,"[2, 1, 0]",['Critical Draw: 2'],"[40, 70, 90, 60, 40, 0, 0]","[50, 0, 0, 0]",10000,0
15,14,HAMMER,Hammer_013,Iron Devil,"Whatever fury hell hath, it mustfeel a lot like the meaty,monstrous swings of thisupgraded Iron Hammer.",12,20000,8,220,0,0,NONE,0,NONE,0,"[3, 2, 1]",['Critical Draw: 3'],"[40, 60, 90, 70, 50, 40, 0]","[50, 0, 0, 0]",10000,0
16,15,HAMMER,Hammer_014,Chata Clobberer I,A hammer designed like the headof a Chatacabra. The weight of itsjaw ensures that it packs a punch.,24,500,1,110,15,0,NONE,0,NONE,0,"[0, 0, 0]",['Charge Up: 1'],"[50, 30, 110, 10, 0, 0, 0]","[50, 0, 0, 0]",0,0
17,16,HAMMER,Hammer_015,Chata Clobberer II,A hammer designed like the headof a Chatacabra. The weight of itsjaw ensures that it packs a punch.,25,1500,3,150,15,0,NONE,0,NONE,0,"[0, 0, 0]","['Charge Up: 1', 'Stamina Thief: 1']","[80, 30, 120, 20, 0, 0, 0]","[50, 0, 0, 0]",0,0
18,17,HAMMER,Hammer_016,Chata Clobberer III,A hammer designed like the headof a Chatacabra. The weight of itsjaw ensures that it packs a punch.,26,4000,5,180,15,0,NONE,0,NONE,0,"[2, 1, 0]","['Charge Up: 1', 'Stamina Thief: 1']","[70, 30, 110, 80, 10, 0, 0]","[50, 0, 0, 0]",0,0
19,18,HAMMER,Hammer_017,Chata Clobberer IV,A hammer designed like the headof a Chatacabra. The weight of itsjaw ensures that it packs a punch.,27,14000,7,210,15,0,NONE,0,NONE,0,"[3, 2, 0]","['Charge Up: 1', 'Stamina Thief: 2']","[60, 30, 120, 100, 40, 0, 0]","[50, 0, 0, 0]",0,0
20,20,HAMMER,Hammer_018,Balahara Hammer I,"A Balahara hammer.Clad in steel, this hulkingweapon can break throughthe most stubborn bedrock.",49,800,2,110,0,10,WATER,16,NONE,0,"[0, 0, 0]",['Slugger: 1'],"[50, 30, 90, 30, 0, 0, 0]","[50, 0, 0, 0]",5,0
