,,,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,Wp08BinType,Wp08BinValue,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,SLASH_AXE,SlashAxe_000,Hope Axe I,"A switch axe made specifically forthe expedition. A sword and axein one, it requires skill to wield.",0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],POWER,0,"[50, 50, 40, 60, 0, 0, 0]","[50, 0, 0, 0]",0,0
3,1,SLASH_AXE,SlashAxe_001,Hope Axe II,"A switch axe made specifically forthe expedition. A sword and axein one, it requires skill to wield.",1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],POWER,0,"[40, 50, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",0,0
4,2,SLASH_AXE,SlashAxe_002,Hope Axe III,"A switch axe made specifically forthe expedition. A sword and axein one, it requires skill to wield.",2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']",POWER,0,"[50, 60, 50, 90, 0, 0, 0]","[50, 0, 0, 0]",0,0
5,3,SLASH_AXE,SlashAxe_003,Hope Axe IV,"A switch axe made specifically forthe expedition. A sword and axein one, it requires skill to wield.",3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']",POWER,0,"[50, 60, 60, 70, 60, 0, 0]","[50, 0, 0, 0]",0,0
6,4,SLASH_AXE,SlashAxe_004,Hope Axe V,"A switch axe made specifically forthe expedition. A sword and axein one, it requires skill to wield.",4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']",POWER,0,"[50, 60, 50, 80, 50, 60, 0]","[50, 0, 0, 0]",0,0
7,6,SLASH_AXE,SlashAxe_005,Bone Axe I,"The newest in desert technology,this switch axe is the foundationof a number of weaponderivations.",20,500,1,110,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Focus: 1'],STAMINA,15,"[50, 70, 80, 0, 0, 0, 0]","[40, 10, 0, 0]",10003,0
8,7,SLASH_AXE,SlashAxe_006,Bone Axe II,"The newest in desert technology,this switch axe is the foundationof a number of weaponderivations.",21,800,2,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Focus: 1', 'Attack Boost: 1']",STAMINA,18,"[50, 40, 110, 0, 0, 0, 0]","[20, 30, 0, 0]",10003,0
9,8,SLASH_AXE,SlashAxe_007,Bone Axe III,"The newest in desert technology,this switch axe is the foundationof a number of weaponderivations.",22,2600,4,170,0,0,NONE,0,NONE,0,"[1, 0, 0]","['Focus: 2', 'Attack Boost: 1']",STAMINA,20,"[50, 60, 100, 40, 0, 0, 0]","[50, 0, 0, 0]",10003,0
10,9,SLASH_AXE,SlashAxe_008,Bone Axe IV,"The newest in desert technology,this switch axe is the foundationof a number of weaponderivations.",23,10000,6,200,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Focus: 3', 'Attack Boost: 1']",STAMINA,23,"[50, 60, 80, 110, 0, 0, 0]","[50, 0, 0, 0]",10003,0
11,10,SLASH_AXE,SlashAxe_009,Bone Smasher,"Years of research have improvedthe Bone Axe across the board.Sharp as a sword, devastatingas an axe.",24,20000,8,230,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Focus: 3', 'Attack Boost: 1']",STAMINA,25,"[50, 60, 60, 70, 110, 0, 0]","[50, 0, 0, 0]",10003,0
