,,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,RodInsectLv,SharpnessValList,TakumiValList,ModelId,CustomModelId
2,0,ROD,Rod_000,Hope Glaive I,An insect glaive made specificallyfor the expedition. Control insectswhile moving with nimble ease.,0,200,1,90,0,0,NONE,0,NONE,0,"[0, 0, 0]",[],RIC_00,"[50, 50, 40, 60, 0, 0, 0]","[50, 0, 0, 0]",2,0
3,1,ROD,Rod_001,Hope Glaive II,An insect glaive made specificallyfor the expedition. Control insectswhile moving with nimble ease.,1,500,1,100,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Speed Sharpening: 1'],RIC_00,"[40, 50, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",2,0
4,2,ROD,Rod_002,Hope Glaive III,An insect glaive made specificallyfor the expedition. Control insectswhile moving with nimble ease.,2,1500,3,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Speed Sharpening: 1', 'Critical Eye: 1']",RIC_02,"[50, 60, 50, 90, 0, 0, 0]","[50, 0, 0, 0]",2,0
5,3,ROD,Rod_003,Hope Glaive IV,An insect glaive made specificallyfor the expedition. Control insectswhile moving with nimble ease.,3,4000,5,160,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']",RIC_04,"[50, 60, 60, 70, 60, 0, 0]","[50, 0, 0, 0]",2,0
6,4,ROD,Rod_004,Hope Glaive V,An insect glaive made specificallyfor the expedition. Control insectswhile moving with nimble ease.,4,14000,7,190,0,0,NONE,0,NONE,0,"[3, 2, 0]","['Speed Sharpening: 2', 'Critical Eye: 1']",RIC_06,"[50, 60, 50, 80, 50, 60, 0]","[50, 0, 0, 0]",2,0
7,6,ROD,Rod_005,Bone Staff I,"A simple insect glaive made of bone.With the right upgrades, it has thepotential to be a powerful weapon.",37,500,1,110,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Focus: 1'],RIC_00,"[50, 70, 80, 0, 0, 0, 0]","[40, 10, 0, 0]",10003,0
8,7,ROD,Rod_006,Bone Staff II,"A simple insect glaive made of bone.With the right upgrades, it has thepotential to be a powerful weapon.",38,800,2,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Focus: 1', 'Attack Boost: 1']",RIC_02,"[50, 40, 110, 0, 0, 0, 0]","[20, 30, 0, 0]",10003,0
9,8,ROD,Rod_007,Bone Staff III,"A simple insect glaive made of bone.With the right upgrades, it has thepotential to be a powerful weapon.",39,2600,4,170,0,0,NONE,0,NONE,0,"[1, 0, 0]","['Focus: 2', 'Attack Boost: 1']",RIC_04,"[50, 60, 100, 40, 0, 0, 0]","[50, 0, 0, 0]",10003,0
10,9,ROD,Rod_008,Bone Staff IV,"A simple insect glaive made of bone.With the right upgrades, it has thepotential to be a powerful weapon.",40,10000,6,200,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Focus: 3', 'Attack Boost: 1']",RIC_06,"[50, 60, 80, 110, 0, 0, 0]","[50, 0, 0, 0]",10003,0
11,10,ROD,Rod_009,Aerial Glaive,"Repeated upgrades have yielded thisfinished Bone Staff, with the sameno-frills look and easy handling.",41,20000,8,230,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Focus: 3', 'Attack Boost: 1']",RIC_09,"[50, 60, 60, 70, 110, 0, 0]","[50, 0, 0, 0]",10003,0
12,11,ROD,Rod_010,Iron Gale I,An insect glaive calibrated toavoid collateral damage. Twounique blades producecentrifugal force.,9,800,2,120,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],RIC_01,"[20, 40, 90, 50, 0, 0, 0]","[50, 0, 0, 0]",10001,0
13,12,ROD,Rod_011,Iron Gale II,An insect glaive calibrated toavoid collateral damage. Twounique blades producecentrifugal force.,10,2600,4,160,0,0,NONE,0,NONE,0,"[1, 1, 0]",['Critical Draw: 2'],RIC_03,"[20, 60, 90, 80, 0, 0, 0]","[50, 0, 0, 0]",10001,0
14,13,ROD,Rod_012,Iron Gale III,An insect glaive calibrated toavoid collateral damage. Twounique blades producecentrifugal force.,11,10000,6,190,0,0,NONE,0,NONE,0,"[2, 2, 0]",['Critical Draw: 2'],RIC_05,"[20, 70, 90, 60, 60, 0, 0]","[50, 0, 0, 0]",10001,0
15,14,ROD,Rod_013,Chrome Gale,An Iron Gale further enhancedwith a rare steel. Allows the userto attack like the wind itself.,12,20000,8,220,0,0,NONE,0,NONE,0,"[3, 3, 1]",['Critical Draw: 3'],RIC_07,"[20, 60, 90, 70, 50, 60, 0]","[50, 0, 0, 0]",10001,0
16,15,ROD,Rod_014,Chata Glaive I,"An insect glaive made out ofChatacabra materials, perfectlyweighted to flow unwaveringlythrough the air.",27,500,1,110,15,0,NONE,0,NONE,0,"[0, 0, 0]",['Power Prolonger: 1'],RIC_00,"[50, 10, 110, 30, 0, 0, 0]","[50, 0, 0, 0]",0,0
17,16,ROD,Rod_015,Chata Glaive II,"An insect glaive made out ofChatacabra materials, perfectlyweighted to flow unwaveringlythrough the air.",28,1500,3,150,15,0,NONE,0,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],RIC_02,"[80, 10, 120, 40, 0, 0, 0]","[50, 0, 0, 0]",0,0
18,17,ROD,Rod_016,Chata Glaive III,"An insect glaive made out ofChatacabra materials, perfectlyweighted to flow unwaveringlythrough the air.",29,4000,5,180,15,0,NONE,0,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],RIC_04,"[70, 20, 110, 80, 20, 0, 0]","[50, 0, 0, 0]",0,0
19,18,ROD,Rod_017,Chata Glaive IV,"An insect glaive made out ofChatacabra materials, perfectlyweighted to flow unwaveringlythrough the air.",30,14000,7,210,15,0,NONE,0,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],RIC_06,"[60, 10, 120, 100, 60, 0, 0]","[50, 0, 0, 0]",0,0
20,20,ROD,Rod_018,Barina Perche I,"A Lala Barina insect glaive asgraceful as its namesake. To avoidits sting, one must watch its dance.",45,500,1,100,0,10,PARALYSE,10,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],RIC_00,"[50, 40, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",3,0
21,21,ROD,Rod_019,Barina Perche II,"A Lala Barina insect glaive asgraceful as its namesake. To avoidits sting, one must watch its dance.",46,1500,3,120,0,10,PARALYSE,12,NONE,0,"[0, 0, 0]","['Critical Draw: 1', 'Critical Status: 1']",RIC_03,"[70, 40, 30, 110, 0, 0, 0]","[50, 0, 0, 0]",3,0
22,22,ROD,Rod_020,Barina Perche III,"A Lala Barina insect glaive asgraceful as its namesake. To avoidits sting, one must watch its dance.",47,4000,5,150,0,15,PARALYSE,15,NONE,0,"[2, 1, 0]","['Critical Draw: 1', 'Critical Status: 1']",RIC_05,"[70, 40, 30, 100, 60, 0, 0]","[50, 0, 0, 0]",3,0
23,23,ROD,Rod_021,Barina Perche IV,"A Lala Barina insect glaive asgraceful as its namesake. To avoidits sting, one must watch its dance.",48,14000,7,180,0,15,PARALYSE,17,NONE,0,"[3, 2, 0]","['Critical Draw: 2', 'Critical Status: 1']",RIC_08,"[70, 40, 30, 90, 60, 60, 0]","[50, 0, 0, 0]",3,0
24,24,ROD,Rod_022,Lala Stromatopelm,A sharper and even more lovelyBarina Perche. To be bewitched byits dance is to forfeit one's life.,49,20000,8,200,0,15,PARALYSE,20,NONE,0,"[3, 2, 1]","['Critical Draw: 2', 'Critical Status: 1']",RIC_09,"[70, 40, 30, 60, 40, 110, 0]","[50, 0, 0, 0]",4,0
25,25,ROD,Rod_023,Balahara Glaive I,"A Balahara insect glaive with mostof its weight in the tip, making ithard to command without training.",18,800,2,110,0,10,WATER,10,NONE,0,"[0, 0, 0]",['Power Prolonger: 1'],RIC_01,"[30, 30, 90, 50, 0, 0, 0]","[50, 0, 0, 0]",5,0
26,26,ROD,Rod_024,Balahara Glaive II,"A Balahara insect glaive with mostof its weight in the tip, making ithard to command without training.",19,2600,4,150,0,10,WATER,12,NONE,0,"[1, 0, 0]",['Power Prolonger: 2'],RIC_03,"[40, 30, 100, 80, 0, 0, 0]","[50, 0, 0, 0]",5,0
27,27,ROD,Rod_025,Balahara Glaive III,"A Balahara insect glaive with mostof its weight in the tip, making ithard to command without training.",20,5000,5,160,0,10,WATER,15,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],RIC_04,"[30, 30, 110, 90, 40, 0, 0]","[50, 0, 0, 0]",5,0
28,28,ROD,Rod_026,Balahara Glaive IV,"A Balahara insect glaive with mostof its weight in the tip, making ithard to command without training.",21,14000,7,190,0,10,WATER,17,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],RIC_06,"[30, 30, 110, 90, 70, 20, 0]","[50, 0, 0, 0]",5,0
29,29,ROD,Rod_027,Sandsea Uchaltiya,An upgraded Balahara Glaive thatadds even more devastating weightto the tip of the weapon.,22,20000,8,210,0,10,WATER,20,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_07,"[30, 30, 100, 80, 70, 40, 0]","[50, 0, 0, 0]",6,0
30,30,ROD,Rod_028,Rey Halilintar I,A forbidding insect glaive imbuedwith Rey Dau's thunder. Said toconjure lightning when held aloft.,23,2000,3,140,0,0,ELEC,12,NONE,0,"[0, 0, 0]","['Focus: 1', 'Charge Master: 1']",RIC_02,"[10, 10, 140, 90, 0, 0, 0]","[50, 0, 0, 0]",7,0
31,31,ROD,Rod_029,Rey Halilintar II,A forbidding insect glaive imbuedwith Rey Dau's thunder. Said toconjure lightning when held aloft.,24,4000,5,170,0,0,ELEC,15,NONE,0,"[2, 1, 0]","['Focus: 1', 'Charge Master: 1']",RIC_04,"[10, 10, 120, 100, 60, 0, 0]","[50, 0, 0, 0]",7,0
32,32,ROD,Rod_030,Rey Halilintar III,A forbidding insect glaive imbuedwith Rey Dau's thunder. Said toconjure lightning when held aloft.,25,14000,7,200,0,0,ELEC,17,NONE,0,"[3, 2, 0]","['Focus: 2', 'Charge Master: 1']",RIC_06,"[10, 10, 110, 80, 80, 60, 0]","[50, 0, 0, 0]",7,0
33,33,ROD,Rod_031,Halilintar Clairglaive,An upgraded Rey Halilintar. May itslighting surge upon the ragingwinds and ravage the battlefield.,26,20000,8,220,0,0,ELEC,20,NONE,0,"[3, 2, 1]","['Focus: 2', 'Charge Master: 1']",RIC_07,"[10, 10, 100, 70, 70, 90, 0]","[50, 0, 0, 0]",7,0
34,34,ROD,Rod_032,Stealth Glaive I,"A strong and flexible glaive. Upondrawing it, its prongs deploy andrelease Nerscylla pheromones.",50,1500,3,120,0,10,SLEEP,12,NONE,0,"[0, 0, 0]","['Charge Master: 1', 'Focus: 1']",RIC_03,"[70, 40, 30, 110, 0, 0, 0]","[50, 0, 0, 0]",11,0
35,35,ROD,Rod_033,Stealth Glaive II,"A strong and flexible glaive. Upondrawing it, its prongs deploy andrelease Nerscylla pheromones.",51,5000,5,150,0,15,SLEEP,15,NONE,0,"[2, 1, 0]","['Charge Master: 1', 'Focus: 1']",RIC_05,"[70, 40, 30, 100, 60, 0, 0]","[50, 0, 0, 0]",11,0
36,36,ROD,Rod_034,Stealth Glaive III,"A strong and flexible glaive. Upondrawing it, its prongs deploy andrelease Nerscylla pheromones.",52,14000,7,180,0,15,SLEEP,17,NONE,0,"[3, 2, 0]","['Charge Master: 2', 'Focus: 1']",RIC_08,"[70, 40, 30, 90, 60, 60, 0]","[50, 0, 0, 0]",11,0
37,37,ROD,Rod_035,Stealth Glaive Redux,The Stealth Glaive's enhanced form.The weapon of choice for an expertKinsect user in a secret society.,53,20000,8,200,0,15,SLEEP,20,NONE,0,"[3, 2, 1]","['Charge Master: 2', 'Focus: 1']",RIC_09,"[70, 40, 30, 60, 40, 110, 0]","[50, 0, 0, 0]",11,0
38,38,ROD,Rod_036,Ajara Trident I,An Ajarakan insect glaive thatdelivers a flurry of blast-inducingblows that can sear the very air.,42,1500,3,130,0,10,BLAST,12,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],RIC_02,"[50, 60, 70, 70, 0, 0, 0]","[50, 0, 0, 0]",12,0
39,39,ROD,Rod_037,Ajara Trident II,An Ajarakan insect glaive thatdelivers a flurry of blast-inducingblows that can sear the very air.,43,10000,6,180,0,10,BLAST,15,NONE,0,"[2, 1, 0]",['Power Prolonger: 3'],RIC_05,"[50, 60, 90, 40, 60, 0, 0]","[50, 0, 0, 0]",12,0
