File Path	Display Name	Category (Forward Slash Separated)	Tags (Comma Separated)	Platform Extension	Language Extension
Ace/Data/Graphics/PcSpec/CPUScoreData.user	CPUScoreData.user	UserData Files	CPUScoreData.user		
Art/Library/Light/LightPostLibrary/LP_Assets/Material/Master/M_LP_Check.mmtr	M_LP_Check.mmtr	MMTR Files	M_LP_Check.mmtr		
Art/Library/Light/LightPostLibrary/LP_Assets/Mesh/Check/CheckerFovGuide_Mesh.sdftex	CheckerFovGuide_Mesh.sdftex	SDFTEX Files	CheckerFovGuide_Mesh.sdftex		
Art/Library/MaterialLibrary/Textures/Capcom/Surface/02_Detail/CC_fabric_metallic_hn_000/CC_fabric_metallic_ALBD.tex	CC_fabric_metallic_ALBD.tex	TEX Files	CC_fabric_metallic_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Capcom/Surface/02_Detail/CC_fabric_metallic_hn_000/CC_fabric_metallic_NRRH.tex	CC_fabric_metallic_NRRH.tex	TEX Files	CC_fabric_metallic_NRRH.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/rock_rough_tl3oaafo/MS_tl3oaafo_ALBD.tex	MS_tl3oaafo_ALBD.tex	TEX Files	MS_tl3oaafo_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/rock_rough_tl3oaafo/MS_tl3oaafo_NRRH.tex	MS_tl3oaafo_NRRH.tex	TEX Files	MS_tl3oaafo_NRRH.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/surface_ground_vhpmdghew/MS_vhpmdghew_ALBD.tex	MS_vhpmdghew_ALBD.tex	TEX Files	MS_vhpmdghew_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/00_Ground/surface_ground_vhpmdghew/MS_vhpmdghew_NRRH.tex	MS_vhpmdghew_NRRH.tex	TEX Files	MS_vhpmdghew_NRRH.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/02_Detail/rock_jagged_vcllehjg/MS_vcllehjg_ALBD.tex	MS_vcllehjg_ALBD.tex	TEX Files	MS_vcllehjg_ALBD.tex		
Art/Library/MaterialLibrary/Textures/Megascans/Surface/02_Detail/rock_jagged_vcllehjg/MS_vcllehjg_NRRH.tex	MS_vcllehjg_NRRH.tex	TEX Files	MS_vcllehjg_NRRH.tex		
Art/Light/Light_Assets/Mesh/LightChecker/LC_ColorChart.mdf2	LC_ColorChart.mdf2	MDF2 Files	LC_ColorChart.mdf2		
Art/Light/Light_Assets/Mesh/LightChecker/LC_ColorChart.mesh	LC_ColorChart.mesh		LC_ColorChart.mesh		
